date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-03,3,3,2020,1,0,Andorra,AD,77006,1,0
2020-03-14,14,3,2020,1,0,Andorra,AD,77006,2,0
2020-03-16,16,3,2020,3,0,Andorra,AD,77006,5,0
2020-03-17,17,3,2020,9,0,Andorra,AD,77006,14,0
2020-03-18,18,3,2020,0,0,Andorra,AD,77006,14,0
2020-03-19,19,3,2020,39,0,Andorra,AD,77006,53,0
2020-03-20,20,3,2020,22,0,Andorra,AD,77006,75,0
2020-03-21,21,3,2020,0,0,Andorra,AD,77006,75,0
2020-03-22,22,3,2020,13,0,Andorra,AD,77006,88,0
2020-03-23,23,3,2020,25,0,Andorra,AD,77006,113,0
2020-03-24,24,3,2020,20,0,Andorra,AD,77006,133,0
2020-03-25,25,3,2020,31,0,Andorra,AD,77006,164,0
2020-03-26,26,3,2020,24,0,Andorra,AD,77006,188,0
2020-03-27,27,3,2020,36,3,Andorra,AD,77006,224,3
2020-03-28,28,3,2020,43,0,Andorra,AD,77006,267,3
2020-03-29,29,3,2020,41,1,Andorra,AD,77006,308,4
2020-03-30,30,3,2020,26,2,Andorra,AD,77006,334,6
2020-03-31,31,3,2020,36,2,Andorra,AD,77006,370,8
2020-04-01,1,4,2020,6,4,Andorra,AD,77006,376,12
2020-04-02,2,4,2020,14,2,Andorra,AD,77006,390,14
2020-04-03,3,4,2020,38,1,Andorra,AD,77006,428,15
2020-04-04,4,4,2020,11,1,Andorra,AD,77006,439,16
2020-04-05,5,4,2020,27,1,Andorra,AD,77006,466,17
2020-04-06,6,4,2020,35,1,Andorra,AD,77006,501,18
2020-04-07,7,4,2020,25,3,Andorra,AD,77006,526,21
2020-04-08,8,4,2020,19,1,Andorra,AD,77006,545,22
2020-04-09,9,4,2020,19,1,Andorra,AD,77006,564,23
2020-04-10,10,4,2020,19,2,Andorra,AD,77006,583,25
2020-04-11,11,4,2020,18,1,Andorra,AD,77006,601,26
2020-04-12,12,4,2020,21,2,Andorra,AD,77006,622,28
2020-04-13,13,4,2020,16,1,Andorra,AD,77006,638,29
2020-04-14,14,4,2020,8,0,Andorra,AD,77006,646,29
