date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-04,4,3,2020,1,0,Argentina,AR,44494502,1,0
2020-03-06,6,3,2020,1,0,Argentina,AR,44494502,2,0
2020-03-07,7,3,2020,6,0,Argentina,AR,44494502,8,0
2020-03-08,8,3,2020,1,1,Argentina,AR,44494502,9,1
2020-03-09,9,3,2020,3,0,Argentina,AR,44494502,12,1
2020-03-11,11,3,2020,7,0,Argentina,AR,44494502,19,1
2020-03-13,13,3,2020,12,0,Argentina,AR,44494502,31,1
2020-03-14,14,3,2020,3,1,Argentina,AR,44494502,34,2
2020-03-15,15,3,2020,11,0,Argentina,AR,44494502,45,2
2020-03-16,16,3,2020,11,0,Argentina,AR,44494502,56,2
2020-03-17,17,3,2020,9,0,Argentina,AR,44494502,65,2
2020-03-18,18,3,2020,14,0,Argentina,AR,44494502,79,2
2020-03-19,19,3,2020,18,0,Argentina,AR,44494502,97,2
2020-03-20,20,3,2020,31,1,Argentina,AR,44494502,128,3
2020-03-21,21,3,2020,30,0,Argentina,AR,44494502,158,3
2020-03-22,22,3,2020,67,1,Argentina,AR,44494502,225,4
2020-03-23,23,3,2020,41,0,Argentina,AR,44494502,266,4
2020-03-24,24,3,2020,35,0,Argentina,AR,44494502,301,4
2020-03-25,25,3,2020,86,2,Argentina,AR,44494502,387,6
2020-03-26,26,3,2020,115,2,Argentina,AR,44494502,502,8
2020-03-27,27,3,2020,87,4,Argentina,AR,44494502,589,12
2020-03-28,28,3,2020,101,5,Argentina,AR,44494502,690,17
2020-03-29,29,3,2020,55,2,Argentina,AR,44494502,745,19
2020-03-30,30,3,2020,75,1,Argentina,AR,44494502,820,20
2020-03-31,31,3,2020,146,4,Argentina,AR,44494502,966,24
2020-04-01,1,4,2020,0,0,Argentina,AR,44494502,966,24
2020-04-02,2,4,2020,167,7,Argentina,AR,44494502,1133,31
2020-04-03,3,4,2020,0,3,Argentina,AR,44494502,1133,34
2020-04-04,4,4,2020,132,3,Argentina,AR,44494502,1265,37
2020-04-05,5,4,2020,186,6,Argentina,AR,44494502,1451,43
2020-04-06,6,4,2020,103,3,Argentina,AR,44494502,1554,46
2020-04-07,7,4,2020,74,7,Argentina,AR,44494502,1628,53
2020-04-08,8,4,2020,87,7,Argentina,AR,44494502,1715,60
2020-04-09,9,4,2020,80,5,Argentina,AR,44494502,1795,65
2020-04-10,10,4,2020,99,14,Argentina,AR,44494502,1894,79
2020-04-11,11,4,2020,81,3,Argentina,AR,44494502,1975,82
2020-04-12,12,4,2020,162,7,Argentina,AR,44494502,2137,89
2020-04-13,13,4,2020,66,6,Argentina,AR,44494502,2203,95
2020-04-14,14,4,2020,69,3,Argentina,AR,44494502,2272,98
