date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-13,13,3,2020,2,0,Aruba,AW,105845,2,0
2020-03-20,20,3,2020,2,0,Aruba,AW,105845,4,0
2020-03-24,24,3,2020,8,0,Aruba,AW,105845,12,0
2020-03-25,25,3,2020,5,0,Aruba,AW,105845,17,0
2020-03-26,26,3,2020,2,0,Aruba,AW,105845,19,0
2020-03-27,27,3,2020,9,0,Aruba,AW,105845,28,0
2020-03-28,28,3,2020,0,0,Aruba,AW,105845,28,0
2020-03-29,29,3,2020,0,0,Aruba,AW,105845,28,0
2020-03-30,30,3,2020,22,0,Aruba,AW,105845,50,0
2020-04-01,1,4,2020,5,0,Aruba,AW,105845,55,0
2020-04-02,2,4,2020,0,0,Aruba,AW,105845,55,0
2020-04-03,3,4,2020,5,0,Aruba,AW,105845,60,0
2020-04-04,4,4,2020,2,0,Aruba,AW,105845,62,0
2020-04-05,5,4,2020,2,0,Aruba,AW,105845,64,0
2020-04-06,6,4,2020,0,0,Aruba,AW,105845,64,0
2020-04-07,7,4,2020,7,0,Aruba,AW,105845,71,0
2020-04-08,8,4,2020,3,0,Aruba,AW,105845,74,0
2020-04-09,9,4,2020,3,0,Aruba,AW,105845,77,0
2020-04-10,10,4,2020,5,0,Aruba,AW,105845,82,0
2020-04-11,11,4,2020,4,0,Aruba,AW,105845,86,0
2020-04-12,12,4,2020,6,0,Aruba,AW,105845,92,0
2020-04-13,13,4,2020,0,0,Aruba,AW,105845,92,0
2020-04-14,14,4,2020,0,0,Aruba,AW,105845,92,0
