date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-06,6,3,2020,2,0,Bosnia_and_Herzegovina,BA,3323929,2,0
2020-03-12,12,3,2020,1,0,Bosnia_and_Herzegovina,BA,3323929,3,0
2020-03-13,13,3,2020,0,0,Bosnia_and_Herzegovina,BA,3323929,3,0
2020-03-16,16,3,2020,15,0,Bosnia_and_Herzegovina,BA,3323929,18,0
2020-03-17,17,3,2020,3,0,Bosnia_and_Herzegovina,BA,3323929,21,0
2020-03-18,18,3,2020,0,0,Bosnia_and_Herzegovina,BA,3323929,21,0
2020-03-19,19,3,2020,15,0,Bosnia_and_Herzegovina,BA,3323929,36,0
2020-03-20,20,3,2020,8,0,Bosnia_and_Herzegovina,BA,3323929,44,0
2020-03-21,21,3,2020,0,0,Bosnia_and_Herzegovina,BA,3323929,44,0
2020-03-22,22,3,2020,48,1,Bosnia_and_Herzegovina,BA,3323929,92,1
2020-03-23,23,3,2020,33,0,Bosnia_and_Herzegovina,BA,3323929,125,1
2020-03-24,24,3,2020,4,0,Bosnia_and_Herzegovina,BA,3323929,129,1
2020-03-25,25,3,2020,33,1,Bosnia_and_Herzegovina,BA,3323929,162,2
2020-03-26,26,3,2020,19,1,Bosnia_and_Herzegovina,BA,3323929,181,3
2020-03-27,27,3,2020,0,0,Bosnia_and_Herzegovina,BA,3323929,181,3
2020-03-28,28,3,2020,48,0,Bosnia_and_Herzegovina,BA,3323929,229,3
2020-03-29,29,3,2020,28,2,Bosnia_and_Herzegovina,BA,3323929,257,5
2020-03-30,30,3,2020,66,1,Bosnia_and_Herzegovina,BA,3323929,323,6
2020-03-31,31,3,2020,30,2,Bosnia_and_Herzegovina,BA,3323929,353,8
2020-04-01,1,4,2020,60,4,Bosnia_and_Herzegovina,BA,3323929,413,12
2020-04-02,2,4,2020,51,1,Bosnia_and_Herzegovina,BA,3323929,464,13
2020-04-03,3,4,2020,68,4,Bosnia_and_Herzegovina,BA,3323929,532,17
2020-04-04,4,4,2020,54,1,Bosnia_and_Herzegovina,BA,3323929,586,18
2020-04-05,5,4,2020,46,3,Bosnia_and_Herzegovina,BA,3323929,632,21
2020-04-06,6,4,2020,31,3,Bosnia_and_Herzegovina,BA,3323929,663,24
2020-04-07,7,4,2020,32,4,Bosnia_and_Herzegovina,BA,3323929,695,28
2020-04-08,8,4,2020,86,4,Bosnia_and_Herzegovina,BA,3323929,781,32
2020-04-09,9,4,2020,35,3,Bosnia_and_Herzegovina,BA,3323929,816,35
2020-04-10,10,4,2020,59,1,Bosnia_and_Herzegovina,BA,3323929,875,36
2020-04-11,11,4,2020,26,1,Bosnia_and_Herzegovina,BA,3323929,901,37
2020-04-12,12,4,2020,47,0,Bosnia_and_Herzegovina,BA,3323929,948,37
2020-04-13,13,4,2020,59,1,Bosnia_and_Herzegovina,BA,3323929,1007,38
2020-04-14,14,4,2020,21,0,Bosnia_and_Herzegovina,BA,3323929,1028,38
