date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-09,9,3,2020,3,0,Bangladesh,BD,161356039,3,0
2020-03-15,15,3,2020,0,0,Bangladesh,BD,161356039,3,0
2020-03-17,17,3,2020,2,0,Bangladesh,BD,161356039,5,0
2020-03-18,18,3,2020,3,0,Bangladesh,BD,161356039,8,0
2020-03-19,19,3,2020,2,0,Bangladesh,BD,161356039,10,0
2020-03-20,20,3,2020,0,0,Bangladesh,BD,161356039,10,0
2020-03-21,21,3,2020,7,0,Bangladesh,BD,161356039,17,0
2020-03-22,22,3,2020,7,2,Bangladesh,BD,161356039,24,2
2020-03-23,23,3,2020,3,1,Bangladesh,BD,161356039,27,3
2020-03-24,24,3,2020,6,0,Bangladesh,BD,161356039,33,3
2020-03-25,25,3,2020,6,1,Bangladesh,BD,161356039,39,4
2020-03-26,26,3,2020,0,1,Bangladesh,BD,161356039,39,5
2020-03-27,27,3,2020,9,0,Bangladesh,BD,161356039,48,5
2020-03-28,28,3,2020,0,0,Bangladesh,BD,161356039,48,5
2020-03-29,29,3,2020,0,0,Bangladesh,BD,161356039,48,5
2020-03-30,30,3,2020,1,0,Bangladesh,BD,161356039,49,5
2020-03-31,31,3,2020,0,0,Bangladesh,BD,161356039,49,5
2020-04-01,1,4,2020,2,0,Bangladesh,BD,161356039,51,5
2020-04-02,2,4,2020,3,1,Bangladesh,BD,161356039,54,6
2020-04-03,3,4,2020,2,0,Bangladesh,BD,161356039,56,6
2020-04-04,4,4,2020,5,0,Bangladesh,BD,161356039,61,6
2020-04-05,5,4,2020,9,2,Bangladesh,BD,161356039,70,8
2020-04-06,6,4,2020,18,1,Bangladesh,BD,161356039,88,9
2020-04-07,7,4,2020,35,3,Bangladesh,BD,161356039,123,12
2020-04-08,8,4,2020,41,5,Bangladesh,BD,161356039,164,17
2020-04-09,9,4,2020,54,3,Bangladesh,BD,161356039,218,20
2020-04-10,10,4,2020,112,1,Bangladesh,BD,161356039,330,21
2020-04-11,11,4,2020,94,6,Bangladesh,BD,161356039,424,27
2020-04-12,12,4,2020,58,3,Bangladesh,BD,161356039,482,30
2020-04-13,13,4,2020,139,4,Bangladesh,BD,161356039,621,34
2020-04-14,14,4,2020,182,5,Bangladesh,BD,161356039,803,39
