date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-11,11,3,2020,2,0,Burkina_Faso,BF,19751535,2,0
2020-03-12,12,3,2020,0,0,Burkina_Faso,BF,19751535,2,0
2020-03-15,15,3,2020,1,0,Burkina_Faso,BF,19751535,3,0
2020-03-16,16,3,2020,0,0,Burkina_Faso,BF,19751535,3,0
2020-03-17,17,3,2020,17,0,Burkina_Faso,BF,19751535,20,0
2020-03-18,18,3,2020,0,0,Burkina_Faso,BF,19751535,20,0
2020-03-19,19,3,2020,6,1,Burkina_Faso,BF,19751535,26,1
2020-03-20,20,3,2020,7,0,Burkina_Faso,BF,19751535,33,1
2020-03-21,21,3,2020,7,0,Burkina_Faso,BF,19751535,40,1
2020-03-22,22,3,2020,24,2,Burkina_Faso,BF,19751535,64,3
2020-03-23,23,3,2020,0,0,Burkina_Faso,BF,19751535,64,3
2020-03-24,24,3,2020,11,0,Burkina_Faso,BF,19751535,75,3
2020-03-25,25,3,2020,24,0,Burkina_Faso,BF,19751535,99,3
2020-03-26,26,3,2020,15,0,Burkina_Faso,BF,19751535,114,3
2020-03-27,27,3,2020,32,0,Burkina_Faso,BF,19751535,146,3
2020-03-28,28,3,2020,0,0,Burkina_Faso,BF,19751535,146,3
2020-03-29,29,3,2020,34,6,Burkina_Faso,BF,19751535,180,9
2020-03-30,30,3,2020,0,0,Burkina_Faso,BF,19751535,180,9
2020-03-31,31,3,2020,42,3,Burkina_Faso,BF,19751535,222,12
2020-04-01,1,4,2020,24,0,Burkina_Faso,BF,19751535,246,12
2020-04-02,2,4,2020,15,2,Burkina_Faso,BF,19751535,261,14
2020-04-03,3,4,2020,27,2,Burkina_Faso,BF,19751535,288,16
2020-04-04,4,4,2020,0,0,Burkina_Faso,BF,19751535,288,16
2020-04-05,5,4,2020,14,0,Burkina_Faso,BF,19751535,302,16
2020-04-06,6,4,2020,43,1,Burkina_Faso,BF,19751535,345,17
2020-04-07,7,4,2020,19,0,Burkina_Faso,BF,19751535,364,17
2020-04-08,8,4,2020,20,2,Burkina_Faso,BF,19751535,384,19
2020-04-09,9,4,2020,30,4,Burkina_Faso,BF,19751535,414,23
2020-04-10,10,4,2020,29,1,Burkina_Faso,BF,19751535,443,24
2020-04-11,11,4,2020,5,2,Burkina_Faso,BF,19751535,448,26
2020-04-12,12,4,2020,36,1,Burkina_Faso,BF,19751535,484,27
2020-04-13,13,4,2020,13,0,Burkina_Faso,BF,19751535,497,27
2020-04-14,14,4,2020,18,1,Burkina_Faso,BF,19751535,515,28
