date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-08,8,3,2020,2,0,Bulgaria,BG,7024216,2,0
2020-03-09,9,3,2020,2,0,Bulgaria,BG,7024216,4,0
2020-03-12,12,3,2020,3,1,Bulgaria,BG,7024216,7,1
2020-03-13,13,3,2020,16,0,Bulgaria,BG,7024216,23,1
2020-03-14,14,3,2020,8,0,Bulgaria,BG,7024216,31,1
2020-03-15,15,3,2020,10,1,Bulgaria,BG,7024216,41,2
2020-03-16,16,3,2020,10,0,Bulgaria,BG,7024216,51,2
2020-03-17,17,3,2020,11,0,Bulgaria,BG,7024216,62,2
2020-03-18,18,3,2020,19,0,Bulgaria,BG,7024216,81,2
2020-03-19,19,3,2020,11,0,Bulgaria,BG,7024216,92,2
2020-03-20,20,3,2020,13,1,Bulgaria,BG,7024216,105,3
2020-03-21,21,3,2020,22,0,Bulgaria,BG,7024216,127,3
2020-03-22,22,3,2020,36,0,Bulgaria,BG,7024216,163,3
2020-03-23,23,3,2020,22,0,Bulgaria,BG,7024216,185,3
2020-03-24,24,3,2020,16,0,Bulgaria,BG,7024216,201,3
2020-03-25,25,3,2020,19,0,Bulgaria,BG,7024216,220,3
2020-03-26,26,3,2020,22,0,Bulgaria,BG,7024216,242,3
2020-03-27,27,3,2020,22,0,Bulgaria,BG,7024216,264,3
2020-03-28,28,3,2020,29,0,Bulgaria,BG,7024216,293,3
2020-03-29,29,3,2020,38,4,Bulgaria,BG,7024216,331,7
2020-03-30,30,3,2020,15,1,Bulgaria,BG,7024216,346,8
2020-03-31,31,3,2020,13,0,Bulgaria,BG,7024216,359,8
2020-04-01,1,4,2020,40,0,Bulgaria,BG,7024216,399,8
2020-04-02,2,4,2020,23,2,Bulgaria,BG,7024216,422,10
2020-04-03,3,4,2020,35,0,Bulgaria,BG,7024216,457,10
2020-04-04,4,4,2020,28,4,Bulgaria,BG,7024216,485,14
2020-04-05,5,4,2020,18,3,Bulgaria,BG,7024216,503,17
2020-04-06,6,4,2020,28,3,Bulgaria,BG,7024216,531,20
2020-04-07,7,4,2020,18,2,Bulgaria,BG,7024216,549,22
2020-04-08,8,4,2020,28,1,Bulgaria,BG,7024216,577,23
2020-04-09,9,4,2020,16,1,Bulgaria,BG,7024216,593,24
2020-04-10,10,4,2020,31,0,Bulgaria,BG,7024216,624,24
2020-04-11,11,4,2020,11,1,Bulgaria,BG,7024216,635,25
2020-04-12,12,4,2020,26,3,Bulgaria,BG,7024216,661,28
2020-04-13,13,4,2020,14,1,Bulgaria,BG,7024216,675,29
2020-04-14,14,4,2020,10,3,Bulgaria,BG,7024216,685,32
