date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-10,10,3,2020,1,0,Brunei_Darussalam,BN,428962,1,0
2020-03-12,12,3,2020,10,0,Brunei_Darussalam,BN,428962,11,0
2020-03-13,13,3,2020,14,0,Brunei_Darussalam,BN,428962,25,0
2020-03-14,14,3,2020,12,0,Brunei_Darussalam,BN,428962,37,0
2020-03-15,15,3,2020,3,0,Brunei_Darussalam,BN,428962,40,0
2020-03-16,16,3,2020,10,0,Brunei_Darussalam,BN,428962,50,0
2020-03-17,17,3,2020,4,0,Brunei_Darussalam,BN,428962,54,0
2020-03-18,18,3,2020,2,0,Brunei_Darussalam,BN,428962,56,0
2020-03-19,19,3,2020,12,0,Brunei_Darussalam,BN,428962,68,0
2020-03-20,20,3,2020,5,0,Brunei_Darussalam,BN,428962,73,0
2020-03-21,21,3,2020,5,0,Brunei_Darussalam,BN,428962,78,0
2020-03-22,22,3,2020,5,0,Brunei_Darussalam,BN,428962,83,0
2020-03-23,23,3,2020,5,0,Brunei_Darussalam,BN,428962,88,0
2020-03-24,24,3,2020,3,0,Brunei_Darussalam,BN,428962,91,0
2020-03-25,25,3,2020,13,0,Brunei_Darussalam,BN,428962,104,0
2020-03-26,26,3,2020,3,0,Brunei_Darussalam,BN,428962,107,0
2020-03-27,27,3,2020,7,0,Brunei_Darussalam,BN,428962,114,0
2020-03-28,28,3,2020,1,0,Brunei_Darussalam,BN,428962,115,0
2020-03-29,29,3,2020,5,1,Brunei_Darussalam,BN,428962,120,1
2020-03-30,30,3,2020,6,0,Brunei_Darussalam,BN,428962,126,1
2020-03-31,31,3,2020,1,0,Brunei_Darussalam,BN,428962,127,1
2020-04-01,1,4,2020,2,0,Brunei_Darussalam,BN,428962,129,1
2020-04-02,2,4,2020,2,0,Brunei_Darussalam,BN,428962,131,1
2020-04-03,3,4,2020,2,0,Brunei_Darussalam,BN,428962,133,1
2020-04-04,4,4,2020,0,0,Brunei_Darussalam,BN,428962,133,1
2020-04-05,5,4,2020,2,0,Brunei_Darussalam,BN,428962,135,1
2020-04-06,6,4,2020,0,0,Brunei_Darussalam,BN,428962,135,1
2020-04-07,7,4,2020,0,0,Brunei_Darussalam,BN,428962,135,1
2020-04-08,8,4,2020,0,0,Brunei_Darussalam,BN,428962,135,1
2020-04-09,9,4,2020,0,0,Brunei_Darussalam,BN,428962,135,1
2020-04-10,10,4,2020,0,0,Brunei_Darussalam,BN,428962,135,1
2020-04-11,11,4,2020,1,0,Brunei_Darussalam,BN,428962,136,1
2020-04-12,12,4,2020,0,0,Brunei_Darussalam,BN,428962,136,1
2020-04-13,13,4,2020,0,0,Brunei_Darussalam,BN,428962,136,1
2020-04-14,14,4,2020,0,0,Brunei_Darussalam,BN,428962,136,1
