date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-12,12,3,2020,2,0,Bolivia,BO,11353142,2,0
2020-03-13,13,3,2020,1,0,Bolivia,BO,11353142,3,0
2020-03-14,14,3,2020,7,0,Bolivia,BO,11353142,10,0
2020-03-15,15,3,2020,0,0,Bolivia,BO,11353142,10,0
2020-03-17,17,3,2020,1,0,Bolivia,BO,11353142,11,0
2020-03-18,18,3,2020,1,0,Bolivia,BO,11353142,12,0
2020-03-19,19,3,2020,0,0,Bolivia,BO,11353142,12,0
2020-03-20,20,3,2020,3,0,Bolivia,BO,11353142,15,0
2020-03-21,21,3,2020,4,0,Bolivia,BO,11353142,19,0
2020-03-22,22,3,2020,1,0,Bolivia,BO,11353142,20,0
2020-03-23,23,3,2020,7,0,Bolivia,BO,11353142,27,0
2020-03-24,24,3,2020,1,0,Bolivia,BO,11353142,28,0
2020-03-25,25,3,2020,4,0,Bolivia,BO,11353142,32,0
2020-03-26,26,3,2020,7,0,Bolivia,BO,11353142,39,0
2020-03-27,27,3,2020,22,0,Bolivia,BO,11353142,61,0
2020-03-28,28,3,2020,13,0,Bolivia,BO,11353142,74,0
2020-03-29,29,3,2020,7,0,Bolivia,BO,11353142,81,0
2020-03-30,30,3,2020,15,3,Bolivia,BO,11353142,96,3
2020-03-31,31,3,2020,11,3,Bolivia,BO,11353142,107,6
2020-04-01,1,4,2020,8,1,Bolivia,BO,11353142,115,7
2020-04-02,2,4,2020,8,1,Bolivia,BO,11353142,123,8
2020-04-03,3,4,2020,9,1,Bolivia,BO,11353142,132,9
2020-04-04,4,4,2020,7,1,Bolivia,BO,11353142,139,10
2020-04-05,5,4,2020,18,0,Bolivia,BO,11353142,157,10
2020-04-06,6,4,2020,26,1,Bolivia,BO,11353142,183,11
2020-04-07,7,4,2020,11,3,Bolivia,BO,11353142,194,14
2020-04-08,8,4,2020,16,1,Bolivia,BO,11353142,210,15
2020-04-09,9,4,2020,54,3,Bolivia,BO,11353142,264,18
2020-04-10,10,4,2020,4,1,Bolivia,BO,11353142,268,19
2020-04-11,11,4,2020,8,1,Bolivia,BO,11353142,276,20
2020-04-12,12,4,2020,24,4,Bolivia,BO,11353142,300,24
2020-04-13,13,4,2020,30,3,Bolivia,BO,11353142,330,27
2020-04-14,14,4,2020,24,1,Bolivia,BO,11353142,354,28
