date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-24,24,3,2020,1,0,Belize,BZ,383071,1,0
2020-03-25,25,3,2020,0,0,Belize,BZ,383071,1,0
2020-03-26,26,3,2020,1,0,Belize,BZ,383071,2,0
2020-03-27,27,3,2020,0,0,Belize,BZ,383071,2,0
2020-03-28,28,3,2020,0,0,Belize,BZ,383071,2,0
2020-03-29,29,3,2020,0,0,Belize,BZ,383071,2,0
2020-03-30,30,3,2020,0,0,Belize,BZ,383071,2,0
2020-03-31,31,3,2020,1,0,Belize,BZ,383071,3,0
2020-04-01,1,4,2020,0,0,Belize,BZ,383071,3,0
2020-04-02,2,4,2020,0,0,Belize,BZ,383071,3,0
2020-04-03,3,4,2020,0,0,Belize,BZ,383071,3,0
2020-04-04,4,4,2020,1,0,Belize,BZ,383071,4,0
2020-04-05,5,4,2020,0,0,Belize,BZ,383071,4,0
2020-04-06,6,4,2020,1,1,Belize,BZ,383071,5,1
2020-04-07,7,4,2020,2,0,Belize,BZ,383071,7,1
2020-04-08,8,4,2020,0,0,Belize,BZ,383071,7,1
2020-04-09,9,4,2020,1,0,Belize,BZ,383071,8,1
2020-04-10,10,4,2020,1,0,Belize,BZ,383071,9,1
2020-04-11,11,4,2020,1,1,Belize,BZ,383071,10,2
2020-04-12,12,4,2020,3,0,Belize,BZ,383071,13,2
2020-04-13,13,4,2020,1,0,Belize,BZ,383071,14,2
2020-04-14,14,4,2020,4,0,Belize,BZ,383071,18,2
