date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2019-12-31,31,12,2019,0,0,Canada,CA,37058856,0,0
2020-01-01,1,1,2020,0,0,Canada,CA,37058856,0,0
2020-01-02,2,1,2020,0,0,Canada,CA,37058856,0,0
2020-01-03,3,1,2020,0,0,Canada,CA,37058856,0,0
2020-01-04,4,1,2020,0,0,Canada,CA,37058856,0,0
2020-01-05,5,1,2020,0,0,Canada,CA,37058856,0,0
2020-01-06,6,1,2020,0,0,Canada,CA,37058856,0,0
2020-01-07,7,1,2020,0,0,Canada,CA,37058856,0,0
2020-01-08,8,1,2020,0,0,Canada,CA,37058856,0,0
2020-01-09,9,1,2020,0,0,Canada,CA,37058856,0,0
2020-01-10,10,1,2020,0,0,Canada,CA,37058856,0,0
2020-01-11,11,1,2020,0,0,Canada,CA,37058856,0,0
2020-01-12,12,1,2020,0,0,Canada,CA,37058856,0,0
2020-01-13,13,1,2020,0,0,Canada,CA,37058856,0,0
2020-01-14,14,1,2020,0,0,Canada,CA,37058856,0,0
2020-01-15,15,1,2020,0,0,Canada,CA,37058856,0,0
2020-01-16,16,1,2020,0,0,Canada,CA,37058856,0,0
2020-01-17,17,1,2020,0,0,Canada,CA,37058856,0,0
2020-01-18,18,1,2020,0,0,Canada,CA,37058856,0,0
2020-01-19,19,1,2020,0,0,Canada,CA,37058856,0,0
2020-01-20,20,1,2020,0,0,Canada,CA,37058856,0,0
2020-01-21,21,1,2020,0,0,Canada,CA,37058856,0,0
2020-01-22,22,1,2020,0,0,Canada,CA,37058856,0,0
2020-01-23,23,1,2020,0,0,Canada,CA,37058856,0,0
2020-01-24,24,1,2020,0,0,Canada,CA,37058856,0,0
2020-01-25,25,1,2020,0,0,Canada,CA,37058856,0,0
2020-01-26,26,1,2020,1,0,Canada,CA,37058856,1,0
2020-01-27,27,1,2020,0,0,Canada,CA,37058856,1,0
2020-01-28,28,1,2020,1,0,Canada,CA,37058856,2,0
2020-01-29,29,1,2020,1,0,Canada,CA,37058856,3,0
2020-01-30,30,1,2020,0,0,Canada,CA,37058856,3,0
2020-01-31,31,1,2020,0,0,Canada,CA,37058856,3,0
2020-02-01,1,2,2020,1,0,Canada,CA,37058856,4,0
2020-02-02,2,2,2020,0,0,Canada,CA,37058856,4,0
2020-02-03,3,2,2020,0,0,Canada,CA,37058856,4,0
2020-02-04,4,2,2020,0,0,Canada,CA,37058856,4,0
2020-02-05,5,2,2020,1,0,Canada,CA,37058856,5,0
2020-02-06,6,2,2020,0,0,Canada,CA,37058856,5,0
2020-02-07,7,2,2020,2,0,Canada,CA,37058856,7,0
2020-02-08,8,2,2020,0,0,Canada,CA,37058856,7,0
2020-02-09,9,2,2020,0,0,Canada,CA,37058856,7,0
2020-02-10,10,2,2020,0,0,Canada,CA,37058856,7,0
2020-02-11,11,2,2020,0,0,Canada,CA,37058856,7,0
2020-02-12,12,2,2020,0,0,Canada,CA,37058856,7,0
2020-02-13,13,2,2020,0,0,Canada,CA,37058856,7,0
2020-02-14,14,2,2020,0,0,Canada,CA,37058856,7,0
2020-02-15,15,2,2020,1,0,Canada,CA,37058856,8,0
2020-02-16,16,2,2020,0,0,Canada,CA,37058856,8,0
2020-02-17,17,2,2020,0,0,Canada,CA,37058856,8,0
2020-02-18,18,2,2020,0,0,Canada,CA,37058856,8,0
2020-02-19,19,2,2020,0,0,Canada,CA,37058856,8,0
2020-02-20,20,2,2020,0,0,Canada,CA,37058856,8,0
2020-02-21,21,2,2020,1,0,Canada,CA,37058856,9,0
2020-02-22,22,2,2020,0,0,Canada,CA,37058856,9,0
2020-02-23,23,2,2020,0,0,Canada,CA,37058856,9,0
2020-02-24,24,2,2020,0,0,Canada,CA,37058856,9,0
2020-02-25,25,2,2020,2,0,Canada,CA,37058856,11,0
2020-02-26,26,2,2020,0,0,Canada,CA,37058856,11,0
2020-02-27,27,2,2020,1,0,Canada,CA,37058856,12,0
2020-02-28,28,2,2020,2,0,Canada,CA,37058856,14,0
2020-02-29,29,2,2020,2,0,Canada,CA,37058856,16,0
2020-03-01,1,3,2020,4,0,Canada,CA,37058856,20,0
2020-03-02,2,3,2020,4,0,Canada,CA,37058856,24,0
2020-03-03,3,3,2020,3,0,Canada,CA,37058856,27,0
2020-03-04,4,3,2020,3,0,Canada,CA,37058856,30,0
2020-03-05,5,3,2020,3,0,Canada,CA,37058856,33,0
2020-03-06,6,3,2020,12,0,Canada,CA,37058856,45,0
2020-03-07,7,3,2020,6,0,Canada,CA,37058856,51,0
2020-03-08,8,3,2020,6,0,Canada,CA,37058856,57,0
2020-03-09,9,3,2020,5,0,Canada,CA,37058856,62,0
2020-03-10,10,3,2020,15,1,Canada,CA,37058856,77,1
2020-03-11,11,3,2020,16,0,Canada,CA,37058856,93,1
2020-03-12,12,3,2020,10,0,Canada,CA,37058856,103,1
2020-03-13,13,3,2020,35,0,Canada,CA,37058856,138,1
2020-03-14,14,3,2020,38,0,Canada,CA,37058856,176,1
2020-03-15,15,3,2020,68,0,Canada,CA,37058856,244,1
2020-03-16,16,3,2020,60,0,Canada,CA,37058856,304,1
2020-03-17,17,3,2020,120,3,Canada,CA,37058856,424,4
2020-03-18,18,3,2020,145,4,Canada,CA,37058856,569,8
2020-03-19,19,3,2020,121,1,Canada,CA,37058856,690,9
2020-03-20,20,3,2020,156,1,Canada,CA,37058856,846,10
2020-03-21,21,3,2020,125,2,Canada,CA,37058856,971,12
2020-03-22,22,3,2020,331,6,Canada,CA,37058856,1302,18
