date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-11,11,3,2020,1,0,Democratic_Republic_of_the_Congo,CD,84068091,1,0
2020-03-14,14,3,2020,1,0,Democratic_Republic_of_the_Congo,CD,84068091,2,0
2020-03-15,15,3,2020,0,0,Democratic_Republic_of_the_Congo,CD,84068091,2,0
2020-03-16,16,3,2020,0,0,Democratic_Republic_of_the_Congo,CD,84068091,2,0
2020-03-17,17,3,2020,1,0,Democratic_Republic_of_the_Congo,CD,84068091,3,0
2020-03-18,18,3,2020,0,0,Democratic_Republic_of_the_Congo,CD,84068091,3,0
2020-03-19,19,3,2020,11,0,Democratic_Republic_of_the_Congo,CD,84068091,14,0
2020-03-20,20,3,2020,0,0,Democratic_Republic_of_the_Congo,CD,84068091,14,0
2020-03-21,21,3,2020,0,0,Democratic_Republic_of_the_Congo,CD,84068091,14,0
2020-03-22,22,3,2020,9,1,Democratic_Republic_of_the_Congo,CD,84068091,23,1
2020-03-23,23,3,2020,3,1,Democratic_Republic_of_the_Congo,CD,84068091,26,2
2020-03-24,24,3,2020,0,0,Democratic_Republic_of_the_Congo,CD,84068091,26,2
2020-03-25,25,3,2020,19,1,Democratic_Republic_of_the_Congo,CD,84068091,45,3
2020-03-26,26,3,2020,0,0,Democratic_Republic_of_the_Congo,CD,84068091,45,3
2020-03-27,27,3,2020,9,1,Democratic_Republic_of_the_Congo,CD,84068091,54,4
2020-03-28,28,3,2020,4,0,Democratic_Republic_of_the_Congo,CD,84068091,58,4
2020-03-29,29,3,2020,0,2,Democratic_Republic_of_the_Congo,CD,84068091,58,6
2020-03-30,30,3,2020,23,2,Democratic_Republic_of_the_Congo,CD,84068091,81,8
2020-03-31,31,3,2020,17,0,Democratic_Republic_of_the_Congo,CD,84068091,98,8
2020-04-01,1,4,2020,0,0,Democratic_Republic_of_the_Congo,CD,84068091,98,8
2020-04-02,2,4,2020,25,3,Democratic_Republic_of_the_Congo,CD,84068091,123,11
2020-04-03,3,4,2020,0,0,Democratic_Republic_of_the_Congo,CD,84068091,123,11
2020-04-04,4,4,2020,11,2,Democratic_Republic_of_the_Congo,CD,84068091,134,13
2020-04-05,5,4,2020,20,5,Democratic_Republic_of_the_Congo,CD,84068091,154,18
2020-04-06,6,4,2020,0,0,Democratic_Republic_of_the_Congo,CD,84068091,154,18
2020-04-07,7,4,2020,7,0,Democratic_Republic_of_the_Congo,CD,84068091,161,18
2020-04-08,8,4,2020,19,0,Democratic_Republic_of_the_Congo,CD,84068091,180,18
2020-04-09,9,4,2020,3,2,Democratic_Republic_of_the_Congo,CD,84068091,183,20
2020-04-10,10,4,2020,32,0,Democratic_Republic_of_the_Congo,CD,84068091,215,20
2020-04-11,11,4,2020,8,0,Democratic_Republic_of_the_Congo,CD,84068091,223,20
2020-04-12,12,4,2020,11,0,Democratic_Republic_of_the_Congo,CD,84068091,234,20
2020-04-13,13,4,2020,0,0,Democratic_Republic_of_the_Congo,CD,84068091,234,20
2020-04-14,14,4,2020,1,0,Democratic_Republic_of_the_Congo,CD,84068091,235,20
