date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-12,12,3,2020,1,0,Cote_dIvoire,CI,25069229,1,0
2020-03-15,15,3,2020,3,0,Cote_dIvoire,CI,25069229,4,0
2020-03-16,16,3,2020,0,0,Cote_dIvoire,CI,25069229,4,0
2020-03-17,17,3,2020,1,0,Cote_dIvoire,CI,25069229,5,0
2020-03-18,18,3,2020,0,0,Cote_dIvoire,CI,25069229,5,0
2020-03-19,19,3,2020,1,0,Cote_dIvoire,CI,25069229,6,0
2020-03-20,20,3,2020,3,0,Cote_dIvoire,CI,25069229,9,0
2020-03-21,21,3,2020,5,0,Cote_dIvoire,CI,25069229,14,0
2020-03-22,22,3,2020,3,0,Cote_dIvoire,CI,25069229,17,0
2020-03-23,23,3,2020,8,0,Cote_dIvoire,CI,25069229,25,0
2020-03-24,24,3,2020,0,0,Cote_dIvoire,CI,25069229,25,0
2020-03-25,25,3,2020,48,0,Cote_dIvoire,CI,25069229,73,0
2020-03-26,26,3,2020,7,0,Cote_dIvoire,CI,25069229,80,0
2020-03-27,27,3,2020,16,0,Cote_dIvoire,CI,25069229,96,0
2020-03-28,28,3,2020,5,0,Cote_dIvoire,CI,25069229,101,0
2020-03-29,29,3,2020,39,0,Cote_dIvoire,CI,25069229,140,0
2020-03-30,30,3,2020,25,1,Cote_dIvoire,CI,25069229,165,1
2020-03-31,31,3,2020,3,0,Cote_dIvoire,CI,25069229,168,1
2020-04-01,1,4,2020,0,0,Cote_dIvoire,CI,25069229,168,1
2020-04-02,2,4,2020,22,0,Cote_dIvoire,CI,25069229,190,1
2020-04-03,3,4,2020,4,0,Cote_dIvoire,CI,25069229,194,1
2020-04-04,4,4,2020,24,0,Cote_dIvoire,CI,25069229,218,1
2020-04-05,5,4,2020,27,1,Cote_dIvoire,CI,25069229,245,2
2020-04-06,6,4,2020,16,1,Cote_dIvoire,CI,25069229,261,3
2020-04-07,7,4,2020,62,0,Cote_dIvoire,CI,25069229,323,3
2020-04-08,8,4,2020,26,0,Cote_dIvoire,CI,25069229,349,3
2020-04-09,9,4,2020,35,0,Cote_dIvoire,CI,25069229,384,3
2020-04-10,10,4,2020,60,0,Cote_dIvoire,CI,25069229,444,3
2020-04-11,11,4,2020,36,0,Cote_dIvoire,CI,25069229,480,3
2020-04-12,12,4,2020,53,1,Cote_dIvoire,CI,25069229,533,4
2020-04-13,13,4,2020,41,1,Cote_dIvoire,CI,25069229,574,5
2020-04-14,14,4,2020,52,1,Cote_dIvoire,CI,25069229,626,6
