date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-04,4,3,2020,1,0,Chile,CL,18729160,1,0
2020-03-05,5,3,2020,2,0,Chile,CL,18729160,3,0
2020-03-06,6,3,2020,1,0,Chile,CL,18729160,4,0
2020-03-07,7,3,2020,1,0,Chile,CL,18729160,5,0
2020-03-09,9,3,2020,5,0,Chile,CL,18729160,10,0
2020-03-10,10,3,2020,3,0,Chile,CL,18729160,13,0
2020-03-11,11,3,2020,4,0,Chile,CL,18729160,17,0
2020-03-12,12,3,2020,6,0,Chile,CL,18729160,23,0
2020-03-13,13,3,2020,10,0,Chile,CL,18729160,33,0
2020-03-14,14,3,2020,10,0,Chile,CL,18729160,43,0
2020-03-15,15,3,2020,18,0,Chile,CL,18729160,61,0
2020-03-16,16,3,2020,14,0,Chile,CL,18729160,75,0
2020-03-17,17,3,2020,81,0,Chile,CL,18729160,156,0
2020-03-18,18,3,2020,45,0,Chile,CL,18729160,201,0
2020-03-19,19,3,2020,37,0,Chile,CL,18729160,238,0
2020-03-20,20,3,2020,104,0,Chile,CL,18729160,342,0
2020-03-21,21,3,2020,92,0,Chile,CL,18729160,434,0
2020-03-22,22,3,2020,103,0,Chile,CL,18729160,537,0
2020-03-23,23,3,2020,95,1,Chile,CL,18729160,632,1
2020-03-24,24,3,2020,114,1,Chile,CL,18729160,746,2
2020-03-25,25,3,2020,176,0,Chile,CL,18729160,922,2
2020-03-26,26,3,2020,220,1,Chile,CL,18729160,1142,3
2020-03-27,27,3,2020,164,1,Chile,CL,18729160,1306,4
2020-03-28,28,3,2020,304,1,Chile,CL,18729160,1610,5
2020-03-29,29,3,2020,299,1,Chile,CL,18729160,1909,6
2020-03-30,30,3,2020,230,1,Chile,CL,18729160,2139,7
2020-03-31,31,3,2020,310,1,Chile,CL,18729160,2449,8
2020-04-01,1,4,2020,289,4,Chile,CL,18729160,2738,12
2020-04-02,2,4,2020,293,4,Chile,CL,18729160,3031,16
2020-04-03,3,4,2020,373,2,Chile,CL,18729160,3404,18
2020-04-04,4,4,2020,333,4,Chile,CL,18729160,3737,22
2020-04-05,5,4,2020,424,5,Chile,CL,18729160,4161,27
2020-04-06,6,4,2020,310,7,Chile,CL,18729160,4471,34
2020-04-07,7,4,2020,344,3,Chile,CL,18729160,4815,37
2020-04-08,8,4,2020,301,6,Chile,CL,18729160,5116,43
2020-04-09,9,4,2020,430,5,Chile,CL,18729160,5546,48
2020-04-10,10,4,2020,426,9,Chile,CL,18729160,5972,57
2020-04-11,11,4,2020,529,8,Chile,CL,18729160,6501,65
2020-04-12,12,4,2020,426,8,Chile,CL,18729160,6927,73
2020-04-13,13,4,2020,286,7,Chile,CL,18729160,7213,80
2020-04-14,14,4,2020,312,2,Chile,CL,18729160,7525,82
