date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2019-12-31,31,12,2019,27,0,China,CN,1392730000,27,0
2020-01-01,1,1,2020,0,0,China,CN,1392730000,27,0
2020-01-02,2,1,2020,0,0,China,CN,1392730000,27,0
2020-01-03,3,1,2020,17,0,China,CN,1392730000,44,0
2020-01-04,4,1,2020,0,0,China,CN,1392730000,44,0
2020-01-05,5,1,2020,15,0,China,CN,1392730000,59,0
2020-01-06,6,1,2020,0,0,China,CN,1392730000,59,0
2020-01-07,7,1,2020,0,0,China,CN,1392730000,59,0
2020-01-08,8,1,2020,0,0,China,CN,1392730000,59,0
2020-01-09,9,1,2020,0,0,China,CN,1392730000,59,0
2020-01-10,10,1,2020,0,0,China,CN,1392730000,59,0
2020-01-11,11,1,2020,0,1,China,CN,1392730000,59,1
2020-01-12,12,1,2020,0,0,China,CN,1392730000,59,1
2020-01-13,13,1,2020,0,0,China,CN,1392730000,59,1
2020-01-14,14,1,2020,0,0,China,CN,1392730000,59,1
2020-01-15,15,1,2020,0,1,China,CN,1392730000,59,2
2020-01-16,16,1,2020,0,0,China,CN,1392730000,59,2
2020-01-17,17,1,2020,4,0,China,CN,1392730000,63,2
2020-01-18,18,1,2020,17,0,China,CN,1392730000,80,2
2020-01-19,19,1,2020,136,1,China,CN,1392730000,216,3
2020-01-20,20,1,2020,19,0,China,CN,1392730000,235,3
2020-01-21,21,1,2020,151,3,China,CN,1392730000,386,6
2020-01-22,22,1,2020,140,11,China,CN,1392730000,526,17
2020-01-23,23,1,2020,97,0,China,CN,1392730000,623,17
2020-01-24,24,1,2020,259,9,China,CN,1392730000,882,26
2020-01-25,25,1,2020,441,15,China,CN,1392730000,1323,41
2020-01-26,26,1,2020,665,15,China,CN,1392730000,1988,56
2020-01-27,27,1,2020,787,25,China,CN,1392730000,2775,81
2020-01-28,28,1,2020,1753,25,China,CN,1392730000,4528,106
2020-01-29,29,1,2020,1466,26,China,CN,1392730000,5994,132
2020-01-30,30,1,2020,1740,38,China,CN,1392730000,7734,170
2020-01-31,31,1,2020,1980,43,China,CN,1392730000,9714,213
2020-02-01,1,2,2020,2095,46,China,CN,1392730000,11809,259
2020-02-02,2,2,2020,2590,45,China,CN,1392730000,14399,304
2020-02-03,3,2,2020,2812,57,China,CN,1392730000,17211,361
2020-02-04,4,2,2020,3237,65,China,CN,1392730000,20448,426
