date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-07,7,3,2020,1,0,Colombia,CO,49648685,1,0
2020-03-10,10,3,2020,2,0,Colombia,CO,49648685,3,0
2020-03-12,12,3,2020,6,0,Colombia,CO,49648685,9,0
2020-03-14,14,3,2020,7,0,Colombia,CO,49648685,16,0
2020-03-15,15,3,2020,18,0,Colombia,CO,49648685,34,0
2020-03-16,16,3,2020,11,0,Colombia,CO,49648685,45,0
2020-03-17,17,3,2020,12,0,Colombia,CO,49648685,57,0
2020-03-18,18,3,2020,8,0,Colombia,CO,49648685,65,0
2020-03-19,19,3,2020,37,0,Colombia,CO,49648685,102,0
2020-03-20,20,3,2020,26,0,Colombia,CO,49648685,128,0
2020-03-21,21,3,2020,30,0,Colombia,CO,49648685,158,0
2020-03-22,22,3,2020,52,1,Colombia,CO,49648685,210,1
2020-03-23,23,3,2020,25,1,Colombia,CO,49648685,235,2
2020-03-24,24,3,2020,71,1,Colombia,CO,49648685,306,3
2020-03-25,25,3,2020,72,0,Colombia,CO,49648685,378,3
2020-03-26,26,3,2020,92,1,Colombia,CO,49648685,470,4
2020-03-27,27,3,2020,21,2,Colombia,CO,49648685,491,6
2020-03-28,28,3,2020,48,0,Colombia,CO,49648685,539,6
2020-03-29,29,3,2020,69,0,Colombia,CO,49648685,608,6
2020-03-30,30,3,2020,94,4,Colombia,CO,49648685,702,10
2020-03-31,31,3,2020,96,4,Colombia,CO,49648685,798,14
2020-04-01,1,4,2020,108,2,Colombia,CO,49648685,906,16
2020-04-02,2,4,2020,159,1,Colombia,CO,49648685,1065,17
2020-04-03,3,4,2020,96,2,Colombia,CO,49648685,1161,19
2020-04-04,4,4,2020,106,6,Colombia,CO,49648685,1267,25
2020-04-05,5,4,2020,139,7,Colombia,CO,49648685,1406,32
2020-04-06,6,4,2020,79,3,Colombia,CO,49648685,1485,35
2020-04-07,7,4,2020,94,11,Colombia,CO,49648685,1579,46
2020-04-08,8,4,2020,201,4,Colombia,CO,49648685,1780,50
2020-04-09,9,4,2020,274,5,Colombia,CO,49648685,2054,55
2020-04-10,10,4,2020,169,14,Colombia,CO,49648685,2223,69
2020-04-11,11,4,2020,250,11,Colombia,CO,49648685,2473,80
2020-04-12,12,4,2020,236,20,Colombia,CO,49648685,2709,100
2020-04-13,13,4,2020,67,9,Colombia,CO,49648685,2776,109
2020-04-14,14,4,2020,76,3,Colombia,CO,49648685,2852,112
