date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-07,7,3,2020,1,0,Costa_Rica,CR,4999441,1,0
2020-03-09,9,3,2020,4,0,Costa_Rica,CR,4999441,5,0
2020-03-10,10,3,2020,4,0,Costa_Rica,CR,4999441,9,0
2020-03-11,11,3,2020,4,0,Costa_Rica,CR,4999441,13,0
2020-03-12,12,3,2020,9,0,Costa_Rica,CR,4999441,22,0
2020-03-13,13,3,2020,1,0,Costa_Rica,CR,4999441,23,0
2020-03-14,14,3,2020,3,0,Costa_Rica,CR,4999441,26,0
2020-03-15,15,3,2020,1,0,Costa_Rica,CR,4999441,27,0
2020-03-16,16,3,2020,8,0,Costa_Rica,CR,4999441,35,0
2020-03-17,17,3,2020,6,0,Costa_Rica,CR,4999441,41,0
2020-03-18,18,3,2020,9,0,Costa_Rica,CR,4999441,50,0
2020-03-19,19,3,2020,19,1,Costa_Rica,CR,4999441,69,1
2020-03-20,20,3,2020,18,0,Costa_Rica,CR,4999441,87,1
2020-03-21,21,3,2020,26,1,Costa_Rica,CR,4999441,113,2
2020-03-22,22,3,2020,4,0,Costa_Rica,CR,4999441,117,2
2020-03-23,23,3,2020,17,0,Costa_Rica,CR,4999441,134,2
2020-03-24,24,3,2020,24,0,Costa_Rica,CR,4999441,158,2
2020-03-25,25,3,2020,19,0,Costa_Rica,CR,4999441,177,2
2020-03-26,26,3,2020,24,0,Costa_Rica,CR,4999441,201,2
2020-03-27,27,3,2020,30,0,Costa_Rica,CR,4999441,231,2
2020-03-28,28,3,2020,32,0,Costa_Rica,CR,4999441,263,2
2020-03-29,29,3,2020,32,0,Costa_Rica,CR,4999441,295,2
2020-03-30,30,3,2020,19,0,Costa_Rica,CR,4999441,314,2
2020-03-31,31,3,2020,16,0,Costa_Rica,CR,4999441,330,2
2020-04-01,1,4,2020,17,0,Costa_Rica,CR,4999441,347,2
2020-04-02,2,4,2020,28,0,Costa_Rica,CR,4999441,375,2
2020-04-03,3,4,2020,21,0,Costa_Rica,CR,4999441,396,2
2020-04-04,4,4,2020,20,0,Costa_Rica,CR,4999441,416,2
2020-04-05,5,4,2020,19,0,Costa_Rica,CR,4999441,435,2
2020-04-06,6,4,2020,19,0,Costa_Rica,CR,4999441,454,2
2020-04-07,7,4,2020,13,0,Costa_Rica,CR,4999441,467,2
2020-04-08,8,4,2020,16,0,Costa_Rica,CR,4999441,483,2
2020-04-09,9,4,2020,19,0,Costa_Rica,CR,4999441,502,2
2020-04-10,10,4,2020,37,1,Costa_Rica,CR,4999441,539,3
2020-04-11,11,4,2020,19,0,Costa_Rica,CR,4999441,558,3
2020-04-12,12,4,2020,19,0,Costa_Rica,CR,4999441,577,3
2020-04-13,13,4,2020,18,0,Costa_Rica,CR,4999441,595,3
2020-04-14,14,4,2020,17,0,Costa_Rica,CR,4999441,612,3
