date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-12,12,3,2020,3,0,Cuba,CU,11338138,3,0
2020-03-14,14,3,2020,1,0,Cuba,CU,11338138,4,0
2020-03-15,15,3,2020,0,0,Cuba,CU,11338138,4,0
2020-03-18,18,3,2020,3,0,Cuba,CU,11338138,7,0
2020-03-19,19,3,2020,4,1,Cuba,CU,11338138,11,1
2020-03-20,20,3,2020,5,0,Cuba,CU,11338138,16,1
2020-03-21,21,3,2020,5,0,Cuba,CU,11338138,21,1
2020-03-22,22,3,2020,4,0,Cuba,CU,11338138,25,1
2020-03-23,23,3,2020,10,0,Cuba,CU,11338138,35,1
2020-03-24,24,3,2020,5,0,Cuba,CU,11338138,40,1
2020-03-25,25,3,2020,8,0,Cuba,CU,11338138,48,1
2020-03-26,26,3,2020,9,0,Cuba,CU,11338138,57,1
2020-03-27,27,3,2020,10,1,Cuba,CU,11338138,67,2
2020-03-28,28,3,2020,13,0,Cuba,CU,11338138,80,2
2020-03-29,29,3,2020,39,1,Cuba,CU,11338138,119,3
2020-03-30,30,3,2020,20,0,Cuba,CU,11338138,139,3
2020-03-31,31,3,2020,31,1,Cuba,CU,11338138,170,4
2020-04-01,1,4,2020,16,2,Cuba,CU,11338138,186,6
2020-04-02,2,4,2020,26,0,Cuba,CU,11338138,212,6
2020-04-03,3,4,2020,21,0,Cuba,CU,11338138,233,6
2020-04-04,4,4,2020,36,0,Cuba,CU,11338138,269,6
2020-04-05,5,4,2020,19,0,Cuba,CU,11338138,288,6
2020-04-06,6,4,2020,32,2,Cuba,CU,11338138,320,8
2020-04-07,7,4,2020,30,1,Cuba,CU,11338138,350,9
2020-04-08,8,4,2020,46,2,Cuba,CU,11338138,396,11
2020-04-09,9,4,2020,61,1,Cuba,CU,11338138,457,12
2020-04-10,10,4,2020,58,3,Cuba,CU,11338138,515,15
2020-04-11,11,4,2020,49,0,Cuba,CU,11338138,564,15
2020-04-12,12,4,2020,56,1,Cuba,CU,11338138,620,16
2020-04-13,13,4,2020,49,2,Cuba,CU,11338138,669,18
2020-04-14,14,4,2020,57,3,Cuba,CU,11338138,726,21
