date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-10,10,3,2020,2,0,Cyprus,CY,1189265,2,0
2020-03-12,12,3,2020,4,0,Cyprus,CY,1189265,6,0
2020-03-14,14,3,2020,8,0,Cyprus,CY,1189265,14,0
2020-03-15,15,3,2020,7,0,Cyprus,CY,1189265,21,0
2020-03-16,16,3,2020,9,0,Cyprus,CY,1189265,30,0
2020-03-17,17,3,2020,10,0,Cyprus,CY,1189265,40,0
2020-03-18,18,3,2020,0,0,Cyprus,CY,1189265,40,0
2020-03-19,19,3,2020,18,0,Cyprus,CY,1189265,58,0
2020-03-20,20,3,2020,0,0,Cyprus,CY,1189265,58,0
2020-03-21,21,3,2020,9,0,Cyprus,CY,1189265,67,0
2020-03-22,22,3,2020,17,0,Cyprus,CY,1189265,84,0
2020-03-23,23,3,2020,11,0,Cyprus,CY,1189265,95,0
2020-03-24,24,3,2020,21,0,Cyprus,CY,1189265,116,0
2020-03-25,25,3,2020,8,3,Cyprus,CY,1189265,124,3
2020-03-26,26,3,2020,8,0,Cyprus,CY,1189265,132,3
2020-03-27,27,3,2020,14,0,Cyprus,CY,1189265,146,3
2020-03-28,28,3,2020,16,2,Cyprus,CY,1189265,162,5
2020-03-29,29,3,2020,17,0,Cyprus,CY,1189265,179,5
2020-03-30,30,3,2020,35,1,Cyprus,CY,1189265,214,6
2020-03-31,31,3,2020,16,1,Cyprus,CY,1189265,230,7
2020-04-01,1,4,2020,32,1,Cyprus,CY,1189265,262,8
2020-04-02,2,4,2020,58,1,Cyprus,CY,1189265,320,9
2020-04-03,3,4,2020,36,0,Cyprus,CY,1189265,356,9
2020-04-04,4,4,2020,40,2,Cyprus,CY,1189265,396,11
2020-04-05,5,4,2020,30,0,Cyprus,CY,1189265,426,11
2020-04-06,6,4,2020,20,3,Cyprus,CY,1189265,446,14
2020-04-07,7,4,2020,19,0,Cyprus,CY,1189265,465,14
2020-04-08,8,4,2020,29,0,Cyprus,CY,1189265,494,14
2020-04-09,9,4,2020,32,0,Cyprus,CY,1189265,526,14
2020-04-10,10,4,2020,38,1,Cyprus,CY,1189265,564,15
2020-04-11,11,4,2020,31,0,Cyprus,CY,1189265,595,15
2020-04-12,12,4,2020,21,0,Cyprus,CY,1189265,616,15
2020-04-13,13,4,2020,17,1,Cyprus,CY,1189265,633,16
2020-04-14,14,4,2020,29,1,Cyprus,CY,1189265,662,17
