date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-19,19,3,2020,1,0,Djibouti,DJ,958920,1,0
2020-03-20,20,3,2020,0,0,Djibouti,DJ,958920,1,0
2020-03-21,21,3,2020,0,0,Djibouti,DJ,958920,1,0
2020-03-22,22,3,2020,0,0,Djibouti,DJ,958920,1,0
2020-03-23,23,3,2020,0,0,Djibouti,DJ,958920,1,0
2020-03-24,24,3,2020,2,0,Djibouti,DJ,958920,3,0
2020-03-25,25,3,2020,0,0,Djibouti,DJ,958920,3,0
2020-03-26,26,3,2020,9,0,Djibouti,DJ,958920,12,0
2020-03-27,27,3,2020,0,0,Djibouti,DJ,958920,12,0
2020-03-28,28,3,2020,1,0,Djibouti,DJ,958920,13,0
2020-03-29,29,3,2020,2,0,Djibouti,DJ,958920,15,0
2020-03-30,30,3,2020,4,0,Djibouti,DJ,958920,19,0
2020-03-31,31,3,2020,7,0,Djibouti,DJ,958920,26,0
2020-04-01,1,4,2020,5,0,Djibouti,DJ,958920,31,0
2020-04-02,2,4,2020,3,0,Djibouti,DJ,958920,34,0
2020-04-03,3,4,2020,7,0,Djibouti,DJ,958920,41,0
2020-04-04,4,4,2020,0,0,Djibouti,DJ,958920,41,0
2020-04-05,5,4,2020,10,0,Djibouti,DJ,958920,51,0
2020-04-06,6,4,2020,8,0,Djibouti,DJ,958920,59,0
2020-04-07,7,4,2020,31,0,Djibouti,DJ,958920,90,0
2020-04-08,8,4,2020,31,0,Djibouti,DJ,958920,121,0
2020-04-09,9,4,2020,14,0,Djibouti,DJ,958920,135,0
2020-04-10,10,4,2020,5,1,Djibouti,DJ,958920,140,1
2020-04-11,11,4,2020,10,0,Djibouti,DJ,958920,150,1
2020-04-12,12,4,2020,37,1,Djibouti,DJ,958920,187,2
2020-04-13,13,4,2020,27,0,Djibouti,DJ,958920,214,2
2020-04-14,14,4,2020,84,0,Djibouti,DJ,958920,298,2
