date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-20,20,3,2020,1,0,Guernsey,GG,63026,1,0
2020-03-21,21,3,2020,0,0,Guernsey,GG,63026,1,0
2020-03-22,22,3,2020,0,0,Guernsey,GG,63026,1,0
2020-03-23,23,3,2020,16,0,Guernsey,GG,63026,17,0
2020-03-24,24,3,2020,3,0,Guernsey,GG,63026,20,0
2020-03-25,25,3,2020,3,0,Guernsey,GG,63026,23,0
2020-03-26,26,3,2020,7,0,Guernsey,GG,63026,30,0
2020-03-27,27,3,2020,4,0,Guernsey,GG,63026,34,0
2020-03-28,28,3,2020,2,0,Guernsey,GG,63026,36,0
2020-03-29,29,3,2020,3,0,Guernsey,GG,63026,39,0
2020-03-30,30,3,2020,6,0,Guernsey,GG,63026,45,0
2020-03-31,31,3,2020,0,0,Guernsey,GG,63026,45,0
2020-04-01,1,4,2020,15,0,Guernsey,GG,63026,60,0
2020-04-02,2,4,2020,18,0,Guernsey,GG,63026,78,0
2020-04-03,3,4,2020,13,0,Guernsey,GG,63026,91,0
2020-04-04,4,4,2020,23,2,Guernsey,GG,63026,114,2
2020-04-05,5,4,2020,22,0,Guernsey,GG,63026,136,2
2020-04-06,6,4,2020,18,1,Guernsey,GG,63026,154,3
2020-04-07,7,4,2020,11,1,Guernsey,GG,63026,165,4
2020-04-08,8,4,2020,1,0,Guernsey,GG,63026,166,4
2020-04-09,9,4,2020,15,1,Guernsey,GG,63026,181,5
2020-04-10,10,4,2020,10,0,Guernsey,GG,63026,191,5
2020-04-11,11,4,2020,9,1,Guernsey,GG,63026,200,6
2020-04-12,12,4,2020,9,0,Guernsey,GG,63026,209,6
2020-04-13,13,4,2020,9,0,Guernsey,GG,63026,218,6
2020-04-14,14,4,2020,1,0,Guernsey,GG,63026,219,6
