date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-13,13,3,2020,2,0,Ghana,GH,29767108,2,0
2020-03-15,15,3,2020,0,0,Ghana,GH,29767108,2,0
2020-03-16,16,3,2020,0,0,Ghana,GH,29767108,2,0
2020-03-17,17,3,2020,4,0,Ghana,GH,29767108,6,0
2020-03-18,18,3,2020,0,0,Ghana,GH,29767108,6,0
2020-03-19,19,3,2020,1,0,Ghana,GH,29767108,7,0
2020-03-20,20,3,2020,4,0,Ghana,GH,29767108,11,0
2020-03-21,21,3,2020,5,0,Ghana,GH,29767108,16,0
2020-03-22,22,3,2020,5,1,Ghana,GH,29767108,21,1
2020-03-23,23,3,2020,3,0,Ghana,GH,29767108,24,1
2020-03-24,24,3,2020,3,1,Ghana,GH,29767108,27,2
2020-03-25,25,3,2020,26,0,Ghana,GH,29767108,53,2
2020-03-26,26,3,2020,15,1,Ghana,GH,29767108,68,3
2020-03-27,27,3,2020,64,0,Ghana,GH,29767108,132,3
2020-03-28,28,3,2020,5,0,Ghana,GH,29767108,137,3
2020-03-29,29,3,2020,4,2,Ghana,GH,29767108,141,5
2020-03-30,30,3,2020,11,0,Ghana,GH,29767108,152,5
2020-03-31,31,3,2020,0,0,Ghana,GH,29767108,152,5
2020-04-01,1,4,2020,0,0,Ghana,GH,29767108,152,5
2020-04-02,2,4,2020,43,0,Ghana,GH,29767108,195,5
2020-04-03,3,4,2020,9,0,Ghana,GH,29767108,204,5
2020-04-04,4,4,2020,1,0,Ghana,GH,29767108,205,5
2020-04-05,5,4,2020,9,0,Ghana,GH,29767108,214,5
2020-04-06,6,4,2020,0,0,Ghana,GH,29767108,214,5
2020-04-07,7,4,2020,73,0,Ghana,GH,29767108,287,5
2020-04-08,8,4,2020,0,0,Ghana,GH,29767108,287,5
2020-04-09,9,4,2020,26,1,Ghana,GH,29767108,313,6
2020-04-10,10,4,2020,65,0,Ghana,GH,29767108,378,6
2020-04-11,11,4,2020,0,0,Ghana,GH,29767108,378,6
2020-04-12,12,4,2020,30,2,Ghana,GH,29767108,408,8
2020-04-13,13,4,2020,158,0,Ghana,GH,29767108,566,8
2020-04-14,14,4,2020,0,0,Ghana,GH,29767108,566,8
