date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-15,15,3,2020,1,0,Guatemala,GT,17247807,1,0
2020-03-16,16,3,2020,0,1,Guatemala,GT,17247807,1,1
2020-03-17,17,3,2020,5,0,Guatemala,GT,17247807,6,1
2020-03-18,18,3,2020,0,0,Guatemala,GT,17247807,6,1
2020-03-19,19,3,2020,2,0,Guatemala,GT,17247807,8,1
2020-03-20,20,3,2020,1,0,Guatemala,GT,17247807,9,1
2020-03-21,21,3,2020,4,0,Guatemala,GT,17247807,13,1
2020-03-22,22,3,2020,4,0,Guatemala,GT,17247807,17,1
2020-03-23,23,3,2020,2,0,Guatemala,GT,17247807,19,1
2020-03-24,24,3,2020,1,0,Guatemala,GT,17247807,20,1
2020-03-25,25,3,2020,1,0,Guatemala,GT,17247807,21,1
2020-03-26,26,3,2020,3,0,Guatemala,GT,17247807,24,1
2020-03-27,27,3,2020,1,0,Guatemala,GT,17247807,25,1
2020-03-28,28,3,2020,7,0,Guatemala,GT,17247807,32,1
2020-03-29,29,3,2020,2,0,Guatemala,GT,17247807,34,1
2020-03-30,30,3,2020,2,0,Guatemala,GT,17247807,36,1
2020-03-31,31,3,2020,0,0,Guatemala,GT,17247807,36,1
2020-04-01,1,4,2020,2,0,Guatemala,GT,17247807,38,1
2020-04-02,2,4,2020,8,0,Guatemala,GT,17247807,46,1
2020-04-03,3,4,2020,1,0,Guatemala,GT,17247807,47,1
2020-04-04,4,4,2020,3,0,Guatemala,GT,17247807,50,1
2020-04-05,5,4,2020,11,1,Guatemala,GT,17247807,61,2
2020-04-06,6,4,2020,9,1,Guatemala,GT,17247807,70,3
2020-04-07,7,4,2020,4,0,Guatemala,GT,17247807,74,3
2020-04-08,8,4,2020,6,0,Guatemala,GT,17247807,80,3
2020-04-09,9,4,2020,7,0,Guatemala,GT,17247807,87,3
2020-04-10,10,4,2020,39,0,Guatemala,GT,17247807,126,3
2020-04-11,11,4,2020,11,0,Guatemala,GT,17247807,137,3
2020-04-12,12,4,2020,16,0,Guatemala,GT,17247807,153,3
2020-04-13,13,4,2020,3,2,Guatemala,GT,17247807,156,5
2020-04-14,14,4,2020,11,0,Guatemala,GT,17247807,167,5
