date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-12,12,3,2020,2,0,Honduras,HN,9587522,2,0
2020-03-14,14,3,2020,1,0,Honduras,HN,9587522,3,0
2020-03-16,16,3,2020,3,0,Honduras,HN,9587522,6,0
2020-03-17,17,3,2020,2,0,Honduras,HN,9587522,8,0
2020-03-18,18,3,2020,1,0,Honduras,HN,9587522,9,0
2020-03-19,19,3,2020,3,0,Honduras,HN,9587522,12,0
2020-03-20,20,3,2020,12,0,Honduras,HN,9587522,24,0
2020-03-21,21,3,2020,0,0,Honduras,HN,9587522,24,0
2020-03-22,22,3,2020,2,0,Honduras,HN,9587522,26,0
2020-03-23,23,3,2020,1,0,Honduras,HN,9587522,27,0
2020-03-24,24,3,2020,3,0,Honduras,HN,9587522,30,0
2020-03-25,25,3,2020,6,0,Honduras,HN,9587522,36,0
2020-03-26,26,3,2020,16,0,Honduras,HN,9587522,52,0
2020-03-27,27,3,2020,15,1,Honduras,HN,9587522,67,1
2020-03-28,28,3,2020,28,0,Honduras,HN,9587522,95,1
2020-03-29,29,3,2020,15,1,Honduras,HN,9587522,110,2
2020-03-30,30,3,2020,29,1,Honduras,HN,9587522,139,3
2020-03-31,31,3,2020,2,4,Honduras,HN,9587522,141,7
2020-04-01,1,4,2020,31,3,Honduras,HN,9587522,172,10
2020-04-02,2,4,2020,47,4,Honduras,HN,9587522,219,14
2020-04-03,3,4,2020,3,1,Honduras,HN,9587522,222,15
2020-04-04,4,4,2020,42,0,Honduras,HN,9587522,264,15
2020-04-05,5,4,2020,4,7,Honduras,HN,9587522,268,22
2020-04-06,6,4,2020,30,0,Honduras,HN,9587522,298,22
2020-04-07,7,4,2020,7,0,Honduras,HN,9587522,305,22
2020-04-08,8,4,2020,7,0,Honduras,HN,9587522,312,22
2020-04-09,9,4,2020,31,1,Honduras,HN,9587522,343,23
2020-04-10,10,4,2020,39,0,Honduras,HN,9587522,382,23
2020-04-11,11,4,2020,10,1,Honduras,HN,9587522,392,24
2020-04-12,12,4,2020,1,1,Honduras,HN,9587522,393,25
2020-04-13,13,4,2020,4,0,Honduras,HN,9587522,397,25
2020-04-14,14,4,2020,10,1,Honduras,HN,9587522,407,26
