date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-20,20,3,2020,2,0,Haiti,HT,11123176,2,0
2020-03-21,21,3,2020,0,0,Haiti,HT,11123176,2,0
2020-03-22,22,3,2020,0,0,Haiti,HT,11123176,2,0
2020-03-23,23,3,2020,0,0,Haiti,HT,11123176,2,0
2020-03-24,24,3,2020,3,0,Haiti,HT,11123176,5,0
2020-03-25,25,3,2020,2,0,Haiti,HT,11123176,7,0
2020-03-26,26,3,2020,1,0,Haiti,HT,11123176,8,0
2020-03-27,27,3,2020,0,0,Haiti,HT,11123176,8,0
2020-03-28,28,3,2020,0,0,Haiti,HT,11123176,8,0
2020-03-29,29,3,2020,0,0,Haiti,HT,11123176,8,0
2020-03-30,30,3,2020,7,0,Haiti,HT,11123176,15,0
2020-03-31,31,3,2020,0,0,Haiti,HT,11123176,15,0
2020-04-01,1,4,2020,0,0,Haiti,HT,11123176,15,0
2020-04-02,2,4,2020,1,0,Haiti,HT,11123176,16,0
2020-04-03,3,4,2020,2,0,Haiti,HT,11123176,18,0
2020-04-04,4,4,2020,0,0,Haiti,HT,11123176,18,0
2020-04-05,5,4,2020,3,0,Haiti,HT,11123176,21,0
2020-04-06,6,4,2020,0,0,Haiti,HT,11123176,21,0
2020-04-07,7,4,2020,3,1,Haiti,HT,11123176,24,1
2020-04-08,8,4,2020,1,0,Haiti,HT,11123176,25,1
2020-04-09,9,4,2020,2,0,Haiti,HT,11123176,27,1
2020-04-10,10,4,2020,3,1,Haiti,HT,11123176,30,2
2020-04-11,11,4,2020,1,0,Haiti,HT,11123176,31,2
2020-04-12,12,4,2020,2,0,Haiti,HT,11123176,33,2
2020-04-13,13,4,2020,0,1,Haiti,HT,11123176,33,3
2020-04-14,14,4,2020,7,0,Haiti,HT,11123176,40,3
