date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-05,5,3,2020,2,0,Hungary,HU,9768785,2,0
2020-03-07,7,3,2020,2,0,Hungary,HU,9768785,4,0
2020-03-08,8,3,2020,3,0,Hungary,HU,9768785,7,0
2020-03-09,9,3,2020,1,0,Hungary,HU,9768785,8,0
2020-03-10,10,3,2020,1,0,Hungary,HU,9768785,9,0
2020-03-11,11,3,2020,3,0,Hungary,HU,9768785,12,0
2020-03-12,12,3,2020,1,0,Hungary,HU,9768785,13,0
2020-03-13,13,3,2020,3,0,Hungary,HU,9768785,16,0
2020-03-14,14,3,2020,9,0,Hungary,HU,9768785,25,0
2020-03-15,15,3,2020,6,0,Hungary,HU,9768785,31,0
2020-03-16,16,3,2020,8,1,Hungary,HU,9768785,39,1
2020-03-17,17,3,2020,11,0,Hungary,HU,9768785,50,1
2020-03-18,18,3,2020,0,0,Hungary,HU,9768785,50,1
2020-03-19,19,3,2020,23,0,Hungary,HU,9768785,73,1
2020-03-20,20,3,2020,12,0,Hungary,HU,9768785,85,1
2020-03-21,21,3,2020,18,3,Hungary,HU,9768785,103,4
2020-03-22,22,3,2020,28,0,Hungary,HU,9768785,131,4
2020-03-23,23,3,2020,36,3,Hungary,HU,9768785,167,7
2020-03-24,24,3,2020,20,1,Hungary,HU,9768785,187,8
2020-03-25,25,3,2020,39,2,Hungary,HU,9768785,226,10
2020-03-26,26,3,2020,35,0,Hungary,HU,9768785,261,10
2020-03-27,27,3,2020,39,0,Hungary,HU,9768785,300,10
2020-03-28,28,3,2020,43,1,Hungary,HU,9768785,343,11
2020-03-29,29,3,2020,65,2,Hungary,HU,9768785,408,13
2020-03-30,30,3,2020,39,2,Hungary,HU,9768785,447,15
2020-03-31,31,3,2020,45,1,Hungary,HU,9768785,492,16
2020-04-01,1,4,2020,33,4,Hungary,HU,9768785,525,20
2020-04-02,2,4,2020,60,1,Hungary,HU,9768785,585,21
2020-04-03,3,4,2020,38,5,Hungary,HU,9768785,623,26
2020-04-04,4,4,2020,55,6,Hungary,HU,9768785,678,32
2020-04-05,5,4,2020,55,2,Hungary,HU,9768785,733,34
2020-04-06,6,4,2020,11,4,Hungary,HU,9768785,744,38
2020-04-07,7,4,2020,73,9,Hungary,HU,9768785,817,47
2020-04-08,8,4,2020,78,11,Hungary,HU,9768785,895,58
2020-04-09,9,4,2020,85,8,Hungary,HU,9768785,980,66
2020-04-10,10,4,2020,210,11,Hungary,HU,9768785,1190,77
2020-04-11,11,4,2020,120,8,Hungary,HU,9768785,1310,85
2020-04-12,12,4,2020,100,14,Hungary,HU,9768785,1410,99
2020-04-13,13,4,2020,48,10,Hungary,HU,9768785,1458,109
2020-04-14,14,4,2020,54,13,Hungary,HU,9768785,1512,122
