date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-21,21,3,2020,1,0,Isle_of_Man,IM,84077,1,0
2020-03-22,22,3,2020,1,0,Isle_of_Man,IM,84077,2,0
2020-03-23,23,3,2020,0,0,Isle_of_Man,IM,84077,2,0
2020-03-24,24,3,2020,11,0,Isle_of_Man,IM,84077,13,0
2020-03-25,25,3,2020,10,0,Isle_of_Man,IM,84077,23,0
2020-03-26,26,3,2020,0,0,Isle_of_Man,IM,84077,23,0
2020-03-27,27,3,2020,3,0,Isle_of_Man,IM,84077,26,0
2020-03-28,28,3,2020,3,0,Isle_of_Man,IM,84077,29,0
2020-03-29,29,3,2020,3,0,Isle_of_Man,IM,84077,32,0
2020-03-30,30,3,2020,10,0,Isle_of_Man,IM,84077,42,0
2020-03-31,31,3,2020,0,0,Isle_of_Man,IM,84077,42,0
2020-04-01,1,4,2020,10,0,Isle_of_Man,IM,84077,52,0
2020-04-02,2,4,2020,13,0,Isle_of_Man,IM,84077,65,0
2020-04-03,3,4,2020,6,1,Isle_of_Man,IM,84077,71,1
2020-04-04,4,4,2020,43,0,Isle_of_Man,IM,84077,114,1
2020-04-05,5,4,2020,12,0,Isle_of_Man,IM,84077,126,1
2020-04-06,6,4,2020,1,0,Isle_of_Man,IM,84077,127,1
2020-04-07,7,4,2020,12,0,Isle_of_Man,IM,84077,139,1
2020-04-08,8,4,2020,11,0,Isle_of_Man,IM,84077,150,1
2020-04-09,9,4,2020,8,0,Isle_of_Man,IM,84077,158,1
2020-04-10,10,4,2020,32,0,Isle_of_Man,IM,84077,190,1
2020-04-11,11,4,2020,11,0,Isle_of_Man,IM,84077,201,1
2020-04-12,12,4,2020,25,0,Isle_of_Man,IM,84077,226,1
2020-04-13,13,4,2020,2,1,Isle_of_Man,IM,84077,228,2
2020-04-14,14,4,2020,14,0,Isle_of_Man,IM,84077,242,2
