date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2019-12-31,31,12,2019,0,0,Iran,IR,81800269,0,0
2020-01-01,1,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-02,2,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-03,3,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-04,4,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-05,5,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-06,6,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-07,7,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-08,8,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-09,9,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-10,10,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-11,11,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-12,12,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-13,13,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-14,14,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-15,15,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-16,16,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-17,17,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-18,18,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-19,19,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-20,20,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-21,21,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-22,22,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-23,23,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-24,24,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-25,25,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-26,26,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-27,27,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-28,28,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-29,29,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-30,30,1,2020,0,0,Iran,IR,81800269,0,0
2020-01-31,31,1,2020,0,0,Iran,IR,81800269,0,0
2020-02-01,1,2,2020,0,0,Iran,IR,81800269,0,0
2020-02-02,2,2,2020,0,0,Iran,IR,81800269,0,0
2020-02-03,3,2,2020,0,0,Iran,IR,81800269,0,0
2020-02-04,4,2,2020,0,0,Iran,IR,81800269,0,0
2020-02-05,5,2,2020,0,0,Iran,IR,81800269,0,0
2020-02-06,6,2,2020,0,0,Iran,IR,81800269,0,0
2020-02-07,7,2,2020,0,0,Iran,IR,81800269,0,0
2020-02-08,8,2,2020,0,0,Iran,IR,81800269,0,0
2020-02-09,9,2,2020,0,0,Iran,IR,81800269,0,0
2020-02-10,10,2,2020,0,0,Iran,IR,81800269,0,0
2020-02-11,11,2,2020,0,0,Iran,IR,81800269,0,0
2020-02-12,12,2,2020,0,0,Iran,IR,81800269,0,0
2020-02-13,13,2,2020,0,0,Iran,IR,81800269,0,0
2020-02-14,14,2,2020,0,0,Iran,IR,81800269,0,0
2020-02-15,15,2,2020,0,0,Iran,IR,81800269,0,0
2020-02-16,16,2,2020,0,0,Iran,IR,81800269,0,0
2020-02-17,17,2,2020,0,0,Iran,IR,81800269,0,0
2020-02-18,18,2,2020,0,0,Iran,IR,81800269,0,0
2020-02-19,19,2,2020,0,0,Iran,IR,81800269,0,0
2020-02-20,20,2,2020,2,2,Iran,IR,81800269,2,2
2020-02-21,21,2,2020,3,0,Iran,IR,81800269,5,2
2020-02-22,22,2,2020,13,2,Iran,IR,81800269,18,4
2020-02-23,23,2,2020,10,1,Iran,IR,81800269,28,5
2020-02-24,24,2,2020,15,3,Iran,IR,81800269,43,8
2020-02-25,25,2,2020,18,4,Iran,IR,81800269,61,12
2020-02-26,26,2,2020,34,3,Iran,IR,81800269,95,15
2020-02-27,27,2,2020,44,4,Iran,IR,81800269,139,19
2020-02-28,28,2,2020,106,7,Iran,IR,81800269,245,26
2020-02-29,29,2,2020,143,8,Iran,IR,81800269,388,34
2020-03-01,1,3,2020,205,9,Iran,IR,81800269,593,43
2020-03-02,2,3,2020,385,11,Iran,IR,81800269,978,54
2020-03-03,3,3,2020,523,12,Iran,IR,81800269,1501,66
2020-03-04,4,3,2020,835,11,Iran,IR,81800269,2336,77
2020-03-05,5,3,2020,586,15,Iran,IR,81800269,2922,92
2020-03-06,6,3,2020,591,15,Iran,IR,81800269,3513,107
2020-03-07,7,3,2020,1234,17,Iran,IR,81800269,4747,124
2020-03-08,8,3,2020,1076,21,Iran,IR,81800269,5823,145
2020-03-09,9,3,2020,743,49,Iran,IR,81800269,6566,194
2020-03-10,10,3,2020,595,43,Iran,IR,81800269,7161,237
2020-03-11,11,3,2020,881,54,Iran,IR,81800269,8042,291
2020-03-12,12,3,2020,958,63,Iran,IR,81800269,9000,354
2020-03-13,13,3,2020,1075,75,Iran,IR,81800269,10075,429
2020-03-14,14,3,2020,1289,85,Iran,IR,81800269,11364,514
2020-03-15,15,3,2020,1365,97,Iran,IR,81800269,12729,611
2020-03-16,16,3,2020,1209,113,Iran,IR,81800269,13938,724
2020-03-17,17,3,2020,1053,129,Iran,IR,81800269,14991,853
2020-03-18,18,3,2020,1178,135,Iran,IR,81800269,16169,988
2020-03-19,19,3,2020,1192,147,Iran,IR,81800269,17361,1135
2020-03-20,20,3,2020,1046,149,Iran,IR,81800269,18407,1284
2020-03-21,21,3,2020,1237,149,Iran,IR,81800269,19644,1433
2020-03-22,22,3,2020,966,123,Iran,IR,81800269,20610,1556
2020-03-23,23,3,2020,1028,129,Iran,IR,81800269,21638,1685
2020-03-24,24,3,2020,1411,127,Iran,IR,81800269,23049,1812
2020-03-25,25,3,2020,1762,122,Iran,IR,81800269,24811,1934
2020-03-26,26,3,2020,2206,143,Iran,IR,81800269,27017,2077
2020-03-27,27,3,2020,2389,157,Iran,IR,81800269,29406,2234
2020-03-28,28,3,2020,2926,144,Iran,IR,81800269,32332,2378
2020-03-29,29,3,2020,3076,139,Iran,IR,81800269,35408,2517
2020-03-30,30,3,2020,2901,123,Iran,IR,81800269,38309,2640
2020-03-31,31,3,2020,3186,117,Iran,IR,81800269,41495,2757
2020-04-01,1,4,2020,3111,141,Iran,IR,81800269,44606,2898
2020-04-02,2,4,2020,2987,138,Iran,IR,81800269,47593,3036
2020-04-03,3,4,2020,2875,124,Iran,IR,81800269,50468,3160
2020-04-04,4,4,2020,0,0,Iran,IR,81800269,50468,3160
2020-04-05,5,4,2020,5275,292,Iran,IR,81800269,55743,3452
2020-04-06,6,4,2020,2483,151,Iran,IR,81800269,58226,3603
2020-04-07,7,4,2020,2274,136,Iran,IR,81800269,60500,3739
2020-04-08,8,4,2020,2089,133,Iran,IR,81800269,62589,3872
2020-04-09,9,4,2020,1997,121,Iran,IR,81800269,64586,3993
2020-04-10,10,4,2020,1634,117,Iran,IR,81800269,66220,4110
2020-04-11,11,4,2020,1972,122,Iran,IR,81800269,68192,4232
2020-04-12,12,4,2020,1837,125,Iran,IR,81800269,70029,4357
2020-04-13,13,4,2020,1657,117,Iran,IR,81800269,71686,4474
2020-04-14,14,4,2020,1617,111,Iran,IR,81800269,73303,4585
