date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-20,20,3,2020,5,0,Jersey,JE,106800,5,0
2020-03-21,21,3,2020,7,0,Jersey,JE,106800,12,0
2020-03-22,22,3,2020,0,0,Jersey,JE,106800,12,0
2020-03-23,23,3,2020,3,0,Jersey,JE,106800,15,0
2020-03-24,24,3,2020,3,0,Jersey,JE,106800,18,0
2020-03-25,25,3,2020,0,0,Jersey,JE,106800,18,0
2020-03-26,26,3,2020,0,0,Jersey,JE,106800,18,0
2020-03-27,27,3,2020,14,1,Jersey,JE,106800,32,1
2020-03-28,28,3,2020,20,0,Jersey,JE,106800,52,1
2020-03-29,29,3,2020,9,0,Jersey,JE,106800,61,1
2020-03-30,30,3,2020,2,1,Jersey,JE,106800,63,2
2020-03-31,31,3,2020,0,0,Jersey,JE,106800,63,2
2020-04-01,1,4,2020,18,0,Jersey,JE,106800,81,2
2020-04-02,2,4,2020,0,0,Jersey,JE,106800,81,2
2020-04-03,3,4,2020,0,0,Jersey,JE,106800,81,2
2020-04-04,4,4,2020,37,0,Jersey,JE,106800,118,2
2020-04-05,5,4,2020,5,1,Jersey,JE,106800,123,3
2020-04-06,6,4,2020,32,0,Jersey,JE,106800,155,3
2020-04-07,7,4,2020,14,0,Jersey,JE,106800,169,3
2020-04-08,8,4,2020,1,0,Jersey,JE,106800,170,3
2020-04-09,9,4,2020,0,0,Jersey,JE,106800,170,3
2020-04-10,10,4,2020,13,0,Jersey,JE,106800,183,3
2020-04-11,11,4,2020,15,1,Jersey,JE,106800,198,4
2020-04-12,12,4,2020,0,0,Jersey,JE,106800,198,4
2020-04-13,13,4,2020,15,0,Jersey,JE,106800,213,4
2020-04-14,14,4,2020,4,0,Jersey,JE,106800,217,4
