date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-03,3,3,2020,1,0,Jordan,JO,9956011,1,0
2020-03-08,8,3,2020,0,0,Jordan,JO,9956011,1,0
2020-03-15,15,3,2020,0,0,Jordan,JO,9956011,1,0
2020-03-16,16,3,2020,14,0,Jordan,JO,9956011,15,0
2020-03-17,17,3,2020,1,0,Jordan,JO,9956011,16,0
2020-03-18,18,3,2020,19,0,Jordan,JO,9956011,35,0
2020-03-19,19,3,2020,17,0,Jordan,JO,9956011,52,0
2020-03-20,20,3,2020,4,0,Jordan,JO,9956011,56,0
2020-03-21,21,3,2020,13,0,Jordan,JO,9956011,69,0
2020-03-22,22,3,2020,15,0,Jordan,JO,9956011,84,0
2020-03-23,23,3,2020,15,0,Jordan,JO,9956011,99,0
2020-03-24,24,3,2020,13,0,Jordan,JO,9956011,112,0
2020-03-25,25,3,2020,15,0,Jordan,JO,9956011,127,0
2020-03-26,26,3,2020,26,0,Jordan,JO,9956011,153,0
2020-03-27,27,3,2020,19,0,Jordan,JO,9956011,172,0
2020-03-28,28,3,2020,40,0,Jordan,JO,9956011,212,0
2020-03-29,29,3,2020,23,1,Jordan,JO,9956011,235,1
2020-03-30,30,3,2020,24,0,Jordan,JO,9956011,259,1
2020-03-31,31,3,2020,9,4,Jordan,JO,9956011,268,5
2020-04-01,1,4,2020,6,0,Jordan,JO,9956011,274,5
2020-04-02,2,4,2020,4,0,Jordan,JO,9956011,278,5
2020-04-03,3,4,2020,21,0,Jordan,JO,9956011,299,5
2020-04-04,4,4,2020,0,0,Jordan,JO,9956011,299,5
2020-04-05,5,4,2020,24,0,Jordan,JO,9956011,323,5
2020-04-06,6,4,2020,22,0,Jordan,JO,9956011,345,5
2020-04-07,7,4,2020,4,1,Jordan,JO,9956011,349,6
2020-04-08,8,4,2020,0,0,Jordan,JO,9956011,349,6
2020-04-09,9,4,2020,9,0,Jordan,JO,9956011,358,6
2020-04-10,10,4,2020,14,1,Jordan,JO,9956011,372,7
2020-04-11,11,4,2020,0,0,Jordan,JO,9956011,372,7
2020-04-12,12,4,2020,9,0,Jordan,JO,9956011,381,7
2020-04-13,13,4,2020,8,0,Jordan,JO,9956011,389,7
2020-04-14,14,4,2020,2,0,Jordan,JO,9956011,391,7
