date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2019-12-31,31,12,2019,0,0,Japan,JP,126529100,0,0
2020-01-01,1,1,2020,0,0,Japan,JP,126529100,0,0
2020-01-02,2,1,2020,0,0,Japan,JP,126529100,0,0
2020-01-03,3,1,2020,0,0,Japan,JP,126529100,0,0
2020-01-04,4,1,2020,0,0,Japan,JP,126529100,0,0
2020-01-05,5,1,2020,0,0,Japan,JP,126529100,0,0
2020-01-06,6,1,2020,0,0,Japan,JP,126529100,0,0
2020-01-07,7,1,2020,0,0,Japan,JP,126529100,0,0
2020-01-08,8,1,2020,0,0,Japan,JP,126529100,0,0
2020-01-09,9,1,2020,0,0,Japan,JP,126529100,0,0
2020-01-10,10,1,2020,0,0,Japan,JP,126529100,0,0
2020-01-11,11,1,2020,0,0,Japan,JP,126529100,0,0
2020-01-12,12,1,2020,0,0,Japan,JP,126529100,0,0
2020-01-13,13,1,2020,0,0,Japan,JP,126529100,0,0
2020-01-14,14,1,2020,0,0,Japan,JP,126529100,0,0
2020-01-15,15,1,2020,1,0,Japan,JP,126529100,1,0
2020-01-16,16,1,2020,0,0,Japan,JP,126529100,1,0
2020-01-17,17,1,2020,0,0,Japan,JP,126529100,1,0
2020-01-18,18,1,2020,0,0,Japan,JP,126529100,1,0
2020-01-19,19,1,2020,0,0,Japan,JP,126529100,1,0
2020-01-20,20,1,2020,0,0,Japan,JP,126529100,1,0
2020-01-21,21,1,2020,0,0,Japan,JP,126529100,1,0
2020-01-22,22,1,2020,0,0,Japan,JP,126529100,1,0
2020-01-23,23,1,2020,0,0,Japan,JP,126529100,1,0
2020-01-24,24,1,2020,1,0,Japan,JP,126529100,2,0
2020-01-25,25,1,2020,0,0,Japan,JP,126529100,2,0
2020-01-26,26,1,2020,1,0,Japan,JP,126529100,3,0
2020-01-27,27,1,2020,0,0,Japan,JP,126529100,3,0
2020-01-28,28,1,2020,1,0,Japan,JP,126529100,4,0
2020-01-29,29,1,2020,3,0,Japan,JP,126529100,7,0
2020-01-30,30,1,2020,4,0,Japan,JP,126529100,11,0
2020-01-31,31,1,2020,3,0,Japan,JP,126529100,14,0
2020-02-01,1,2,2020,1,0,Japan,JP,126529100,15,0
2020-02-02,2,2,2020,4,0,Japan,JP,126529100,19,0
2020-02-03,3,2,2020,1,0,Japan,JP,126529100,20,0
2020-02-04,4,2,2020,0,0,Japan,JP,126529100,20,0
2020-02-05,5,2,2020,5,0,Japan,JP,126529100,25,0
2020-02-06,6,2,2020,0,0,Japan,JP,126529100,25,0
2020-02-07,7,2,2020,0,0,Japan,JP,126529100,25,0
2020-02-08,8,2,2020,0,0,Japan,JP,126529100,25,0
2020-02-09,9,2,2020,0,0,Japan,JP,126529100,25,0
2020-02-10,10,2,2020,0,0,Japan,JP,126529100,25,0
2020-02-11,11,2,2020,0,0,Japan,JP,126529100,25,0
2020-02-12,12,2,2020,0,0,Japan,JP,126529100,25,0
2020-02-13,13,2,2020,4,1,Japan,JP,126529100,29,1
2020-02-14,14,2,2020,1,0,Japan,JP,126529100,30,1
2020-02-15,15,2,2020,8,0,Japan,JP,126529100,38,1
2020-02-16,16,2,2020,14,0,Japan,JP,126529100,52,1
2020-02-17,17,2,2020,7,0,Japan,JP,126529100,59,1
2020-02-18,18,2,2020,0,0,Japan,JP,126529100,59,1
2020-02-19,19,2,2020,7,0,Japan,JP,126529100,66,1
2020-02-20,20,2,2020,18,0,Japan,JP,126529100,84,1
2020-02-21,21,2,2020,9,0,Japan,JP,126529100,93,1
2020-02-22,22,2,2020,12,0,Japan,JP,126529100,105,1
2020-02-23,23,2,2020,27,0,Japan,JP,126529100,132,1
2020-02-24,24,2,2020,12,0,Japan,JP,126529100,144,1
2020-02-25,25,2,2020,0,0,Japan,JP,126529100,144,1
2020-02-26,26,2,2020,20,0,Japan,JP,126529100,164,1
2020-02-27,27,2,2020,22,2,Japan,JP,126529100,186,3
2020-02-28,28,2,2020,24,0,Japan,JP,126529100,210,3
2020-02-29,29,2,2020,20,0,Japan,JP,126529100,230,3
2020-03-01,1,3,2020,9,2,Japan,JP,126529100,239,5
2020-03-02,2,3,2020,15,1,Japan,JP,126529100,254,6
2020-03-03,3,3,2020,0,0,Japan,JP,126529100,254,6
2020-03-04,4,3,2020,14,0,Japan,JP,126529100,268,6
2020-03-05,5,3,2020,49,0,Japan,JP,126529100,317,6
2020-03-06,6,3,2020,32,0,Japan,JP,126529100,349,6
2020-03-07,7,3,2020,59,0,Japan,JP,126529100,408,6
2020-03-08,8,3,2020,47,0,Japan,JP,126529100,455,6
2020-03-09,9,3,2020,33,1,Japan,JP,126529100,488,7
2020-03-10,10,3,2020,26,2,Japan,JP,126529100,514,9
2020-03-11,11,3,2020,54,3,Japan,JP,126529100,568,12
2020-03-12,12,3,2020,51,3,Japan,JP,126529100,619,15
2020-03-13,13,3,2020,56,4,Japan,JP,126529100,675,19
2020-03-14,14,3,2020,62,2,Japan,JP,126529100,737,21
2020-03-15,15,3,2020,43,1,Japan,JP,126529100,780,22
2020-03-16,16,3,2020,34,2,Japan,JP,126529100,814,24
2020-03-17,17,3,2020,10,4,Japan,JP,126529100,824,28
2020-03-18,18,3,2020,5,0,Japan,JP,126529100,829,28
2020-03-19,19,3,2020,44,1,Japan,JP,126529100,873,29
2020-03-20,20,3,2020,77,4,Japan,JP,126529100,950,33
2020-03-21,21,3,2020,57,2,Japan,JP,126529100,1007,35
2020-03-22,22,3,2020,39,1,Japan,JP,126529100,1046,36
2020-03-23,23,3,2020,43,5,Japan,JP,126529100,1089,41
2020-03-24,24,3,2020,39,1,Japan,JP,126529100,1128,42
2020-03-25,25,3,2020,65,1,Japan,JP,126529100,1193,43
2020-03-26,26,3,2020,75,2,Japan,JP,126529100,1268,45
2020-03-27,27,3,2020,96,1,Japan,JP,126529100,1364,46
2020-03-28,28,3,2020,135,3,Japan,JP,126529100,1499,49
2020-03-29,29,3,2020,194,3,Japan,JP,126529100,1693,52
2020-03-30,30,3,2020,173,2,Japan,JP,126529100,1866,54
2020-03-31,31,3,2020,87,2,Japan,JP,126529100,1953,56
2020-04-01,1,4,2020,0,0,Japan,JP,126529100,1953,56
2020-04-02,2,4,2020,225,1,Japan,JP,126529100,2178,57
2020-04-03,3,4,2020,439,6,Japan,JP,126529100,2617,63
2020-04-04,4,4,2020,318,6,Japan,JP,126529100,2935,69
2020-04-05,5,4,2020,336,1,Japan,JP,126529100,3271,70
2020-04-06,6,4,2020,383,3,Japan,JP,126529100,3654,73
2020-04-07,7,4,2020,163,7,Japan,JP,126529100,3817,80
2020-04-08,8,4,2020,89,0,Japan,JP,126529100,3906,80
2020-04-09,9,4,2020,351,1,Japan,JP,126529100,4257,81
2020-04-10,10,4,2020,410,4,Japan,JP,126529100,4667,85
2020-04-11,11,4,2020,680,3,Japan,JP,126529100,5347,88
2020-04-12,12,4,2020,1401,10,Japan,JP,126529100,6748,98
2020-04-13,13,4,2020,507,4,Japan,JP,126529100,7255,102
2020-04-14,14,4,2020,390,7,Japan,JP,126529100,7645,109
