date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-14,14,3,2020,1,0,Kenya,KE,51393010,1,0
2020-03-15,15,3,2020,0,0,Kenya,KE,51393010,1,0
2020-03-16,16,3,2020,2,0,Kenya,KE,51393010,3,0
2020-03-17,17,3,2020,0,0,Kenya,KE,51393010,3,0
2020-03-18,18,3,2020,1,0,Kenya,KE,51393010,4,0
2020-03-19,19,3,2020,3,0,Kenya,KE,51393010,7,0
2020-03-20,20,3,2020,0,0,Kenya,KE,51393010,7,0
2020-03-21,21,3,2020,0,0,Kenya,KE,51393010,7,0
2020-03-22,22,3,2020,0,0,Kenya,KE,51393010,7,0
2020-03-23,23,3,2020,8,0,Kenya,KE,51393010,15,0
2020-03-24,24,3,2020,1,0,Kenya,KE,51393010,16,0
2020-03-25,25,3,2020,9,0,Kenya,KE,51393010,25,0
2020-03-26,26,3,2020,0,0,Kenya,KE,51393010,25,0
2020-03-27,27,3,2020,6,1,Kenya,KE,51393010,31,1
2020-03-28,28,3,2020,0,0,Kenya,KE,51393010,31,1
2020-03-29,29,3,2020,7,0,Kenya,KE,51393010,38,1
2020-03-30,30,3,2020,4,0,Kenya,KE,51393010,42,1
2020-03-31,31,3,2020,8,0,Kenya,KE,51393010,50,1
2020-04-01,1,4,2020,9,0,Kenya,KE,51393010,59,1
2020-04-02,2,4,2020,22,0,Kenya,KE,51393010,81,1
2020-04-03,3,4,2020,29,2,Kenya,KE,51393010,110,3
2020-04-04,4,4,2020,12,1,Kenya,KE,51393010,122,4
2020-04-05,5,4,2020,4,0,Kenya,KE,51393010,126,4
2020-04-06,6,4,2020,16,0,Kenya,KE,51393010,142,4
2020-04-07,7,4,2020,16,0,Kenya,KE,51393010,158,4
2020-04-08,8,4,2020,14,2,Kenya,KE,51393010,172,6
2020-04-09,9,4,2020,7,0,Kenya,KE,51393010,179,6
2020-04-10,10,4,2020,5,1,Kenya,KE,51393010,184,7
2020-04-11,11,4,2020,5,0,Kenya,KE,51393010,189,7
2020-04-12,12,4,2020,2,0,Kenya,KE,51393010,191,7
2020-04-13,13,4,2020,6,1,Kenya,KE,51393010,197,8
2020-04-14,14,4,2020,11,1,Kenya,KE,51393010,208,9
