date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-19,19,3,2020,3,0,Kyrgyzstan,KG,6315800,3,0
2020-03-20,20,3,2020,3,0,Kyrgyzstan,KG,6315800,6,0
2020-03-21,21,3,2020,0,0,Kyrgyzstan,KG,6315800,6,0
2020-03-22,22,3,2020,8,0,Kyrgyzstan,KG,6315800,14,0
2020-03-23,23,3,2020,0,0,Kyrgyzstan,KG,6315800,14,0
2020-03-24,24,3,2020,2,0,Kyrgyzstan,KG,6315800,16,0
2020-03-25,25,3,2020,26,0,Kyrgyzstan,KG,6315800,42,0
2020-03-26,26,3,2020,2,0,Kyrgyzstan,KG,6315800,44,0
2020-03-27,27,3,2020,0,0,Kyrgyzstan,KG,6315800,44,0
2020-03-28,28,3,2020,14,0,Kyrgyzstan,KG,6315800,58,0
2020-03-29,29,3,2020,26,0,Kyrgyzstan,KG,6315800,84,0
2020-03-30,30,3,2020,0,0,Kyrgyzstan,KG,6315800,84,0
2020-03-31,31,3,2020,0,0,Kyrgyzstan,KG,6315800,84,0
2020-04-01,1,4,2020,23,0,Kyrgyzstan,KG,6315800,107,0
2020-04-02,2,4,2020,5,1,Kyrgyzstan,KG,6315800,112,1
2020-04-03,3,4,2020,13,0,Kyrgyzstan,KG,6315800,125,1
2020-04-04,4,4,2020,19,0,Kyrgyzstan,KG,6315800,144,1
2020-04-05,5,4,2020,0,0,Kyrgyzstan,KG,6315800,144,1
2020-04-06,6,4,2020,72,3,Kyrgyzstan,KG,6315800,216,4
2020-04-07,7,4,2020,12,0,Kyrgyzstan,KG,6315800,228,4
2020-04-08,8,4,2020,42,0,Kyrgyzstan,KG,6315800,270,4
2020-04-09,9,4,2020,10,0,Kyrgyzstan,KG,6315800,280,4
2020-04-10,10,4,2020,18,1,Kyrgyzstan,KG,6315800,298,5
2020-04-11,11,4,2020,41,0,Kyrgyzstan,KG,6315800,339,5
2020-04-12,12,4,2020,38,0,Kyrgyzstan,KG,6315800,377,5
2020-04-13,13,4,2020,42,0,Kyrgyzstan,KG,6315800,419,5
2020-04-14,14,4,2020,11,0,Kyrgyzstan,KG,6315800,430,5
