date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-15,15,3,2020,6,0,Kazakhstan,KZ,18276499,6,0
2020-03-16,16,3,2020,3,0,Kazakhstan,KZ,18276499,9,0
2020-03-17,17,3,2020,2,0,Kazakhstan,KZ,18276499,11,0
2020-03-18,18,3,2020,22,0,Kazakhstan,KZ,18276499,33,0
2020-03-19,19,3,2020,4,0,Kazakhstan,KZ,18276499,37,0
2020-03-20,20,3,2020,12,0,Kazakhstan,KZ,18276499,49,0
2020-03-21,21,3,2020,4,0,Kazakhstan,KZ,18276499,53,0
2020-03-22,22,3,2020,3,0,Kazakhstan,KZ,18276499,56,0
2020-03-23,23,3,2020,4,0,Kazakhstan,KZ,18276499,60,0
2020-03-24,24,3,2020,2,0,Kazakhstan,KZ,18276499,62,0
2020-03-25,25,3,2020,17,0,Kazakhstan,KZ,18276499,79,0
2020-03-26,26,3,2020,9,0,Kazakhstan,KZ,18276499,88,0
2020-03-27,27,3,2020,32,0,Kazakhstan,KZ,18276499,120,0
2020-03-28,28,3,2020,73,0,Kazakhstan,KZ,18276499,193,0
2020-03-29,29,3,2020,36,0,Kazakhstan,KZ,18276499,229,0
2020-03-30,30,3,2020,55,1,Kazakhstan,KZ,18276499,284,1
2020-03-31,31,3,2020,41,0,Kazakhstan,KZ,18276499,325,1
2020-04-01,1,4,2020,15,0,Kazakhstan,KZ,18276499,340,1
2020-04-02,2,4,2020,8,1,Kazakhstan,KZ,18276499,348,2
2020-04-03,3,4,2020,38,1,Kazakhstan,KZ,18276499,386,3
2020-04-04,4,4,2020,74,0,Kazakhstan,KZ,18276499,460,3
2020-04-05,5,4,2020,0,0,Kazakhstan,KZ,18276499,460,3
2020-04-06,6,4,2020,71,2,Kazakhstan,KZ,18276499,531,5
2020-04-07,7,4,2020,139,1,Kazakhstan,KZ,18276499,670,6
2020-04-08,8,4,2020,34,0,Kazakhstan,KZ,18276499,704,6
2020-04-09,9,4,2020,55,1,Kazakhstan,KZ,18276499,759,7
2020-04-10,10,4,2020,43,2,Kazakhstan,KZ,18276499,802,9
2020-04-11,11,4,2020,38,1,Kazakhstan,KZ,18276499,840,10
2020-04-12,12,4,2020,40,0,Kazakhstan,KZ,18276499,880,10
2020-04-13,13,4,2020,81,0,Kazakhstan,KZ,18276499,961,10
2020-04-14,14,4,2020,218,4,Kazakhstan,KZ,18276499,1179,14
