date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-05,5,3,2020,1,0,Liechtenstein,LI,37910,1,0
2020-03-12,12,3,2020,2,0,Liechtenstein,LI,37910,3,0
2020-03-13,13,3,2020,1,0,Liechtenstein,LI,37910,4,0
2020-03-14,14,3,2020,0,0,Liechtenstein,LI,37910,4,0
2020-03-15,15,3,2020,0,0,Liechtenstein,LI,37910,4,0
2020-03-16,16,3,2020,3,0,Liechtenstein,LI,37910,7,0
2020-03-17,17,3,2020,0,0,Liechtenstein,LI,37910,7,0
2020-03-18,18,3,2020,0,0,Liechtenstein,LI,37910,7,0
2020-03-19,19,3,2020,18,0,Liechtenstein,LI,37910,25,0
2020-03-20,20,3,2020,0,0,Liechtenstein,LI,37910,25,0
2020-03-21,21,3,2020,9,0,Liechtenstein,LI,37910,34,0
2020-03-22,22,3,2020,2,0,Liechtenstein,LI,37910,36,0
2020-03-23,23,3,2020,10,0,Liechtenstein,LI,37910,46,0
2020-03-24,24,3,2020,0,0,Liechtenstein,LI,37910,46,0
2020-03-25,25,3,2020,1,0,Liechtenstein,LI,37910,47,0
2020-03-26,26,3,2020,4,0,Liechtenstein,LI,37910,51,0
2020-03-27,27,3,2020,5,0,Liechtenstein,LI,37910,56,0
2020-03-28,28,3,2020,4,0,Liechtenstein,LI,37910,60,0
2020-03-29,29,3,2020,1,0,Liechtenstein,LI,37910,61,0
2020-03-30,30,3,2020,1,0,Liechtenstein,LI,37910,62,0
2020-03-31,31,3,2020,2,0,Liechtenstein,LI,37910,64,0
2020-04-01,1,4,2020,4,0,Liechtenstein,LI,37910,68,0
2020-04-02,2,4,2020,4,0,Liechtenstein,LI,37910,72,0
2020-04-03,3,4,2020,3,0,Liechtenstein,LI,37910,75,0
2020-04-04,4,4,2020,0,0,Liechtenstein,LI,37910,75,0
2020-04-05,5,4,2020,2,1,Liechtenstein,LI,37910,77,1
2020-04-06,6,4,2020,1,0,Liechtenstein,LI,37910,78,1
2020-04-07,7,4,2020,0,0,Liechtenstein,LI,37910,78,1
2020-04-08,8,4,2020,0,0,Liechtenstein,LI,37910,78,1
2020-04-09,9,4,2020,1,0,Liechtenstein,LI,37910,79,1
2020-04-10,10,4,2020,0,0,Liechtenstein,LI,37910,79,1
2020-04-11,11,4,2020,1,0,Liechtenstein,LI,37910,80,1
2020-04-12,12,4,2020,0,0,Liechtenstein,LI,37910,80,1
2020-04-13,13,4,2020,0,0,Liechtenstein,LI,37910,80,1
2020-04-14,14,4,2020,1,0,Liechtenstein,LI,37910,81,1
