date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-03,3,3,2020,1,0,Latvia,LV,1926542,1,0
2020-03-08,8,3,2020,1,0,Latvia,LV,1926542,2,0
2020-03-09,9,3,2020,1,0,Latvia,LV,1926542,3,0
2020-03-10,10,3,2020,3,0,Latvia,LV,1926542,6,0
2020-03-11,11,3,2020,2,0,Latvia,LV,1926542,8,0
2020-03-12,12,3,2020,2,0,Latvia,LV,1926542,10,0
2020-03-13,13,3,2020,6,0,Latvia,LV,1926542,16,0
2020-03-14,14,3,2020,3,0,Latvia,LV,1926542,19,0
2020-03-15,15,3,2020,7,0,Latvia,LV,1926542,26,0
2020-03-16,16,3,2020,5,0,Latvia,LV,1926542,31,0
2020-03-17,17,3,2020,5,0,Latvia,LV,1926542,36,0
2020-03-18,18,3,2020,25,0,Latvia,LV,1926542,61,0
2020-03-19,19,3,2020,10,0,Latvia,LV,1926542,71,0
2020-03-20,20,3,2020,15,0,Latvia,LV,1926542,86,0
2020-03-21,21,3,2020,25,0,Latvia,LV,1926542,111,0
2020-03-22,22,3,2020,13,0,Latvia,LV,1926542,124,0
2020-03-23,23,3,2020,15,0,Latvia,LV,1926542,139,0
2020-03-24,24,3,2020,41,0,Latvia,LV,1926542,180,0
2020-03-25,25,3,2020,17,0,Latvia,LV,1926542,197,0
2020-03-26,26,3,2020,24,0,Latvia,LV,1926542,221,0
2020-03-27,27,3,2020,23,0,Latvia,LV,1926542,244,0
2020-03-28,28,3,2020,36,0,Latvia,LV,1926542,280,0
2020-03-29,29,3,2020,25,0,Latvia,LV,1926542,305,0
2020-03-30,30,3,2020,71,0,Latvia,LV,1926542,376,0
2020-03-31,31,3,2020,0,0,Latvia,LV,1926542,376,0
2020-04-01,1,4,2020,22,0,Latvia,LV,1926542,398,0
2020-04-02,2,4,2020,48,0,Latvia,LV,1926542,446,0
2020-04-03,3,4,2020,12,0,Latvia,LV,1926542,458,0
2020-04-04,4,4,2020,35,1,Latvia,LV,1926542,493,1
2020-04-05,5,4,2020,16,0,Latvia,LV,1926542,509,1
2020-04-06,6,4,2020,24,0,Latvia,LV,1926542,533,1
2020-04-07,7,4,2020,9,0,Latvia,LV,1926542,542,1
2020-04-08,8,4,2020,6,1,Latvia,LV,1926542,548,2
2020-04-09,9,4,2020,29,0,Latvia,LV,1926542,577,2
2020-04-10,10,4,2020,12,0,Latvia,LV,1926542,589,2
2020-04-11,11,4,2020,23,0,Latvia,LV,1926542,612,2
2020-04-12,12,4,2020,18,1,Latvia,LV,1926542,630,3
2020-04-13,13,4,2020,21,2,Latvia,LV,1926542,651,5
2020-04-14,14,4,2020,4,0,Latvia,LV,1926542,655,5
