date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-03,3,3,2020,1,0,Morocco,MA,36029138,1,0
2020-03-06,6,3,2020,1,0,Morocco,MA,36029138,2,0
2020-03-12,12,3,2020,3,1,Morocco,MA,36029138,5,1
2020-03-13,13,3,2020,1,0,Morocco,MA,36029138,6,1
2020-03-14,14,3,2020,1,0,Morocco,MA,36029138,7,1
2020-03-15,15,3,2020,11,0,Morocco,MA,36029138,18,1
2020-03-16,16,3,2020,10,0,Morocco,MA,36029138,28,1
2020-03-17,17,3,2020,9,0,Morocco,MA,36029138,37,1
2020-03-18,18,3,2020,7,1,Morocco,MA,36029138,44,2
2020-03-19,19,3,2020,10,0,Morocco,MA,36029138,54,2
2020-03-20,20,3,2020,9,0,Morocco,MA,36029138,63,2
2020-03-21,21,3,2020,23,1,Morocco,MA,36029138,86,3
2020-03-22,22,3,2020,10,0,Morocco,MA,36029138,96,3
2020-03-23,23,3,2020,19,1,Morocco,MA,36029138,115,4
2020-03-24,24,3,2020,19,0,Morocco,MA,36029138,134,4
2020-03-25,25,3,2020,36,1,Morocco,MA,36029138,170,5
2020-03-26,26,3,2020,55,1,Morocco,MA,36029138,225,6
2020-03-27,27,3,2020,50,4,Morocco,MA,36029138,275,10
2020-03-28,28,3,2020,70,13,Morocco,MA,36029138,345,23
2020-03-29,29,3,2020,13,0,Morocco,MA,36029138,358,23
2020-03-30,30,3,2020,121,3,Morocco,MA,36029138,479,26
2020-03-31,31,3,2020,77,7,Morocco,MA,36029138,556,33
2020-04-01,1,4,2020,61,3,Morocco,MA,36029138,617,36
2020-04-02,2,4,2020,37,3,Morocco,MA,36029138,654,39
2020-04-03,3,4,2020,54,5,Morocco,MA,36029138,708,44
2020-04-04,4,4,2020,0,0,Morocco,MA,36029138,708,44
2020-04-05,5,4,2020,211,15,Morocco,MA,36029138,919,59
2020-04-06,6,4,2020,102,11,Morocco,MA,36029138,1021,70
2020-04-07,7,4,2020,99,10,Morocco,MA,36029138,1120,80
2020-04-08,8,4,2020,64,10,Morocco,MA,36029138,1184,90
2020-04-09,9,4,2020,91,3,Morocco,MA,36029138,1275,93
2020-04-10,10,4,2020,99,4,Morocco,MA,36029138,1374,97
2020-04-11,11,4,2020,74,10,Morocco,MA,36029138,1448,107
2020-04-12,12,4,2020,97,4,Morocco,MA,36029138,1545,111
2020-04-13,13,4,2020,116,7,Morocco,MA,36029138,1661,118
2020-04-14,14,4,2020,102,8,Morocco,MA,36029138,1763,126
