date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-08,8,3,2020,1,0,Moldova,MD,3545883,1,0
2020-03-11,11,3,2020,2,0,Moldova,MD,3545883,3,0
2020-03-12,12,3,2020,1,0,Moldova,MD,3545883,4,0
2020-03-13,13,3,2020,2,0,Moldova,MD,3545883,6,0
2020-03-14,14,3,2020,2,0,Moldova,MD,3545883,8,0
2020-03-15,15,3,2020,12,0,Moldova,MD,3545883,20,0
2020-03-16,16,3,2020,3,0,Moldova,MD,3545883,23,0
2020-03-17,17,3,2020,6,0,Moldova,MD,3545883,29,0
2020-03-18,18,3,2020,1,0,Moldova,MD,3545883,30,0
2020-03-19,19,3,2020,6,1,Moldova,MD,3545883,36,1
2020-03-20,20,3,2020,13,0,Moldova,MD,3545883,49,1
2020-03-21,21,3,2020,17,0,Moldova,MD,3545883,66,1
2020-03-22,22,3,2020,14,0,Moldova,MD,3545883,80,1
2020-03-23,23,3,2020,14,0,Moldova,MD,3545883,94,1
2020-03-24,24,3,2020,15,0,Moldova,MD,3545883,109,1
2020-03-25,25,3,2020,16,0,Moldova,MD,3545883,125,1
2020-03-26,26,3,2020,24,0,Moldova,MD,3545883,149,1
2020-03-27,27,3,2020,28,0,Moldova,MD,3545883,177,1
2020-03-28,28,3,2020,22,1,Moldova,MD,3545883,199,2
2020-03-29,29,3,2020,32,0,Moldova,MD,3545883,231,2
2020-03-30,30,3,2020,32,0,Moldova,MD,3545883,263,2
2020-03-31,31,3,2020,35,0,Moldova,MD,3545883,298,2
2020-04-01,1,4,2020,55,2,Moldova,MD,3545883,353,4
2020-04-02,2,4,2020,70,1,Moldova,MD,3545883,423,5
2020-04-03,3,4,2020,82,1,Moldova,MD,3545883,505,6
2020-04-04,4,4,2020,86,2,Moldova,MD,3545883,591,8
2020-04-05,5,4,2020,161,4,Moldova,MD,3545883,752,12
2020-04-06,6,4,2020,112,3,Moldova,MD,3545883,864,15
2020-04-07,7,4,2020,101,4,Moldova,MD,3545883,965,19
2020-04-08,8,4,2020,91,3,Moldova,MD,3545883,1056,22
2020-04-09,9,4,2020,118,5,Moldova,MD,3545883,1174,27
2020-04-10,10,4,2020,115,2,Moldova,MD,3545883,1289,29
2020-04-11,11,4,2020,149,0,Moldova,MD,3545883,1438,29
2020-04-12,12,4,2020,122,1,Moldova,MD,3545883,1560,30
2020-04-13,13,4,2020,102,2,Moldova,MD,3545883,1662,32
2020-04-14,14,4,2020,50,4,Moldova,MD,3545883,1712,36
