date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-18,18,3,2020,2,0,Montenegro,ME,622345,2,0
2020-03-19,19,3,2020,6,0,Montenegro,ME,622345,8,0
2020-03-20,20,3,2020,5,0,Montenegro,ME,622345,13,0
2020-03-21,21,3,2020,1,0,Montenegro,ME,622345,14,0
2020-03-22,22,3,2020,0,0,Montenegro,ME,622345,14,0
2020-03-23,23,3,2020,7,0,Montenegro,ME,622345,21,0
2020-03-24,24,3,2020,6,0,Montenegro,ME,622345,27,0
2020-03-25,25,3,2020,20,0,Montenegro,ME,622345,47,0
2020-03-26,26,3,2020,6,0,Montenegro,ME,622345,53,0
2020-03-27,27,3,2020,14,1,Montenegro,ME,622345,67,1
2020-03-28,28,3,2020,8,0,Montenegro,ME,622345,75,1
2020-03-29,29,3,2020,9,0,Montenegro,ME,622345,84,1
2020-03-30,30,3,2020,1,0,Montenegro,ME,622345,85,1
2020-03-31,31,3,2020,6,0,Montenegro,ME,622345,91,1
2020-04-01,1,4,2020,18,0,Montenegro,ME,622345,109,1
2020-04-02,2,4,2020,14,0,Montenegro,ME,622345,123,1
2020-04-03,3,4,2020,21,1,Montenegro,ME,622345,144,2
2020-04-04,4,4,2020,30,0,Montenegro,ME,622345,174,2
2020-04-05,5,4,2020,27,0,Montenegro,ME,622345,201,2
2020-04-06,6,4,2020,13,0,Montenegro,ME,622345,214,2
2020-04-07,7,4,2020,19,0,Montenegro,ME,622345,233,2
2020-04-08,8,4,2020,8,0,Montenegro,ME,622345,241,2
2020-04-09,9,4,2020,8,0,Montenegro,ME,622345,249,2
2020-04-10,10,4,2020,3,0,Montenegro,ME,622345,252,2
2020-04-11,11,4,2020,5,0,Montenegro,ME,622345,257,2
2020-04-12,12,4,2020,6,0,Montenegro,ME,622345,263,2
2020-04-13,13,4,2020,9,1,Montenegro,ME,622345,272,3
2020-04-14,14,4,2020,2,0,Montenegro,ME,622345,274,3
