date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-26,26,3,2020,2,0,Mali,ML,19077690,2,0
2020-03-27,27,3,2020,2,0,Mali,ML,19077690,4,0
2020-03-28,28,3,2020,0,0,Mali,ML,19077690,4,0
2020-03-29,29,3,2020,5,0,Mali,ML,19077690,9,0
2020-03-30,30,3,2020,9,0,Mali,ML,19077690,18,0
2020-03-31,31,3,2020,0,0,Mali,ML,19077690,18,0
2020-04-01,1,4,2020,0,1,Mali,ML,19077690,18,1
2020-04-02,2,4,2020,10,0,Mali,ML,19077690,28,1
2020-04-03,3,4,2020,8,2,Mali,ML,19077690,36,3
2020-04-04,4,4,2020,3,0,Mali,ML,19077690,39,3
2020-04-05,5,4,2020,2,0,Mali,ML,19077690,41,3
2020-04-06,6,4,2020,4,2,Mali,ML,19077690,45,5
2020-04-07,7,4,2020,2,0,Mali,ML,19077690,47,5
2020-04-08,8,4,2020,9,0,Mali,ML,19077690,56,5
2020-04-09,9,4,2020,3,2,Mali,ML,19077690,59,7
2020-04-10,10,4,2020,0,0,Mali,ML,19077690,59,7
2020-04-11,11,4,2020,28,0,Mali,ML,19077690,87,7
2020-04-12,12,4,2020,18,2,Mali,ML,19077690,105,9
2020-04-13,13,4,2020,11,0,Mali,ML,19077690,116,9
2020-04-14,14,4,2020,7,1,Mali,ML,19077690,123,10
