date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-17,17,3,2020,0,0,Myanmar,MM,53708395,0,0
2020-03-24,24,3,2020,2,0,Myanmar,MM,53708395,2,0
2020-03-25,25,3,2020,1,0,Myanmar,MM,53708395,3,0
2020-03-26,26,3,2020,0,0,Myanmar,MM,53708395,3,0
2020-03-27,27,3,2020,2,0,Myanmar,MM,53708395,5,0
2020-03-28,28,3,2020,0,0,Myanmar,MM,53708395,5,0
2020-03-29,29,3,2020,3,0,Myanmar,MM,53708395,8,0
2020-03-30,30,3,2020,0,0,Myanmar,MM,53708395,8,0
2020-03-31,31,3,2020,6,0,Myanmar,MM,53708395,14,0
2020-04-01,1,4,2020,1,1,Myanmar,MM,53708395,15,1
2020-04-02,2,4,2020,1,0,Myanmar,MM,53708395,16,1
2020-04-03,3,4,2020,4,0,Myanmar,MM,53708395,20,1
2020-04-04,4,4,2020,0,0,Myanmar,MM,53708395,20,1
2020-04-05,5,4,2020,1,0,Myanmar,MM,53708395,21,1
2020-04-06,6,4,2020,0,0,Myanmar,MM,53708395,21,1
2020-04-07,7,4,2020,1,0,Myanmar,MM,53708395,22,1
2020-04-08,8,4,2020,0,0,Myanmar,MM,53708395,22,1
2020-04-09,9,4,2020,0,2,Myanmar,MM,53708395,22,3
2020-04-10,10,4,2020,5,0,Myanmar,MM,53708395,27,3
2020-04-11,11,4,2020,1,0,Myanmar,MM,53708395,28,3
2020-04-12,12,4,2020,3,0,Myanmar,MM,53708395,31,3
2020-04-13,13,4,2020,10,1,Myanmar,MM,53708395,41,4
2020-04-14,14,4,2020,21,0,Myanmar,MM,53708395,62,4
