date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-08,8,3,2020,3,0,Malta,MT,483530,3,0
2020-03-10,10,3,2020,1,0,Malta,MT,483530,4,0
2020-03-12,12,3,2020,2,0,Malta,MT,483530,6,0
2020-03-13,13,3,2020,3,0,Malta,MT,483530,9,0
2020-03-14,14,3,2020,3,0,Malta,MT,483530,12,0
2020-03-15,15,3,2020,6,0,Malta,MT,483530,18,0
2020-03-16,16,3,2020,3,0,Malta,MT,483530,21,0
2020-03-17,17,3,2020,9,0,Malta,MT,483530,30,0
2020-03-18,18,3,2020,8,0,Malta,MT,483530,38,0
2020-03-19,19,3,2020,10,0,Malta,MT,483530,48,0
2020-03-20,20,3,2020,5,0,Malta,MT,483530,53,0
2020-03-21,21,3,2020,11,0,Malta,MT,483530,64,0
2020-03-22,22,3,2020,9,0,Malta,MT,483530,73,0
2020-03-23,23,3,2020,17,0,Malta,MT,483530,90,0
2020-03-24,24,3,2020,17,0,Malta,MT,483530,107,0
2020-03-25,25,3,2020,13,0,Malta,MT,483530,120,0
2020-03-26,26,3,2020,9,0,Malta,MT,483530,129,0
2020-03-27,27,3,2020,5,0,Malta,MT,483530,134,0
2020-03-28,28,3,2020,5,0,Malta,MT,483530,139,0
2020-03-29,29,3,2020,10,0,Malta,MT,483530,149,0
2020-03-30,30,3,2020,2,0,Malta,MT,483530,151,0
2020-03-31,31,3,2020,5,0,Malta,MT,483530,156,0
2020-04-01,1,4,2020,11,0,Malta,MT,483530,167,0
2020-04-02,2,4,2020,21,0,Malta,MT,483530,188,0
2020-04-03,3,4,2020,7,0,Malta,MT,483530,195,0
2020-04-04,4,4,2020,7,0,Malta,MT,483530,202,0
2020-04-05,5,4,2020,11,0,Malta,MT,483530,213,0
2020-04-06,6,4,2020,21,0,Malta,MT,483530,234,0
2020-04-07,7,4,2020,7,0,Malta,MT,483530,241,0
2020-04-08,8,4,2020,52,0,Malta,MT,483530,293,0
2020-04-09,9,4,2020,6,1,Malta,MT,483530,299,1
2020-04-10,10,4,2020,38,1,Malta,MT,483530,337,2
2020-04-11,11,4,2020,13,0,Malta,MT,483530,350,2
2020-04-12,12,4,2020,20,1,Malta,MT,483530,370,3
2020-04-13,13,4,2020,8,0,Malta,MT,483530,378,3
2020-04-14,14,4,2020,6,0,Malta,MT,483530,384,3
