date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-04-03,3,4,2020,3,0,Malawi,MW,18143315,3,0
2020-04-04,4,4,2020,0,0,Malawi,MW,18143315,3,0
2020-04-05,5,4,2020,1,0,Malawi,MW,18143315,4,0
2020-04-06,6,4,2020,0,0,Malawi,MW,18143315,4,0
2020-04-07,7,4,2020,1,0,Malawi,MW,18143315,5,0
2020-04-08,8,4,2020,3,1,Malawi,MW,18143315,8,1
2020-04-09,9,4,2020,0,0,Malawi,MW,18143315,8,1
2020-04-10,10,4,2020,0,0,Malawi,MW,18143315,8,1
2020-04-11,11,4,2020,1,0,Malawi,MW,18143315,9,1
2020-04-12,12,4,2020,3,1,Malawi,MW,18143315,12,2
2020-04-13,13,4,2020,1,0,Malawi,MW,18143315,13,2
2020-04-14,14,4,2020,3,0,Malawi,MW,18143315,16,2
