date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-21,21,3,2020,1,0,Niger,NE,22442948,1,0
2020-03-22,22,3,2020,0,0,Niger,NE,22442948,1,0
2020-03-23,23,3,2020,0,0,Niger,NE,22442948,1,0
2020-03-24,24,3,2020,1,0,Niger,NE,22442948,2,0
2020-03-25,25,3,2020,5,1,Niger,NE,22442948,7,1
2020-03-26,26,3,2020,0,0,Niger,NE,22442948,7,1
2020-03-27,27,3,2020,3,0,Niger,NE,22442948,10,1
2020-03-28,28,3,2020,0,0,Niger,NE,22442948,10,1
2020-03-29,29,3,2020,0,0,Niger,NE,22442948,10,1
2020-03-30,30,3,2020,0,0,Niger,NE,22442948,10,1
2020-03-31,31,3,2020,10,2,Niger,NE,22442948,20,3
2020-04-01,1,4,2020,0,0,Niger,NE,22442948,20,3
2020-04-02,2,4,2020,54,2,Niger,NE,22442948,74,5
2020-04-03,3,4,2020,0,0,Niger,NE,22442948,74,5
2020-04-04,4,4,2020,24,0,Niger,NE,22442948,98,5
2020-04-05,5,4,2020,22,0,Niger,NE,22442948,120,5
2020-04-06,6,4,2020,64,5,Niger,NE,22442948,184,10
2020-04-07,7,4,2020,69,0,Niger,NE,22442948,253,10
2020-04-08,8,4,2020,25,1,Niger,NE,22442948,278,11
2020-04-09,9,4,2020,64,0,Niger,NE,22442948,342,11
2020-04-10,10,4,2020,68,0,Niger,NE,22442948,410,11
2020-04-11,11,4,2020,28,0,Niger,NE,22442948,438,11
2020-04-12,12,4,2020,53,0,Niger,NE,22442948,491,11
2020-04-13,13,4,2020,38,1,Niger,NE,22442948,529,12
2020-04-14,14,4,2020,19,1,Niger,NE,22442948,548,13
