date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-10,10,3,2020,1,0,Panama,PA,4176873,1,0
2020-03-11,11,3,2020,6,1,Panama,PA,4176873,7,1
2020-03-12,12,3,2020,7,0,Panama,PA,4176873,14,1
2020-03-13,13,3,2020,13,0,Panama,PA,4176873,27,1
2020-03-14,14,3,2020,9,0,Panama,PA,4176873,36,1
2020-03-15,15,3,2020,7,0,Panama,PA,4176873,43,1
2020-03-16,16,3,2020,0,0,Panama,PA,4176873,43,1
2020-03-17,17,3,2020,26,0,Panama,PA,4176873,69,1
2020-03-18,18,3,2020,17,0,Panama,PA,4176873,86,1
2020-03-19,19,3,2020,23,0,Panama,PA,4176873,109,1
2020-03-20,20,3,2020,28,0,Panama,PA,4176873,137,1
2020-03-21,21,3,2020,63,0,Panama,PA,4176873,200,1
2020-03-22,22,3,2020,45,2,Panama,PA,4176873,245,3
2020-03-23,23,3,2020,68,0,Panama,PA,4176873,313,3
2020-03-24,24,3,2020,32,3,Panama,PA,4176873,345,6
2020-03-25,25,3,2020,98,0,Panama,PA,4176873,443,6
2020-03-26,26,3,2020,145,0,Panama,PA,4176873,588,6
2020-03-27,27,3,2020,86,3,Panama,PA,4176873,674,9
2020-03-28,28,3,2020,112,5,Panama,PA,4176873,786,14
2020-03-29,29,3,2020,115,3,Panama,PA,4176873,901,17
2020-03-30,30,3,2020,88,7,Panama,PA,4176873,989,24
2020-03-31,31,3,2020,86,2,Panama,PA,4176873,1075,26
2020-04-01,1,4,2020,106,4,Panama,PA,4176873,1181,30
2020-04-02,2,4,2020,136,2,Panama,PA,4176873,1317,32
2020-04-03,3,4,2020,158,5,Panama,PA,4176873,1475,37
2020-04-04,4,4,2020,198,4,Panama,PA,4176873,1673,41
2020-04-05,5,4,2020,128,5,Panama,PA,4176873,1801,46
2020-04-06,6,4,2020,187,8,Panama,PA,4176873,1988,54
2020-04-07,7,4,2020,112,1,Panama,PA,4176873,2100,55
2020-04-08,8,4,2020,149,4,Panama,PA,4176873,2249,59
2020-04-09,9,4,2020,279,4,Panama,PA,4176873,2528,63
2020-04-10,10,4,2020,224,3,Panama,PA,4176873,2752,66
2020-04-11,11,4,2020,222,8,Panama,PA,4176873,2974,74
2020-04-12,12,4,2020,260,5,Panama,PA,4176873,3234,79
2020-04-13,13,4,2020,166,8,Panama,PA,4176873,3400,87
2020-04-14,14,4,2020,72,7,Panama,PA,4176873,3472,94
