date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-07,7,3,2020,1,0,Peru,PE,31989256,1,0
2020-03-09,9,3,2020,6,0,Peru,PE,31989256,7,0
2020-03-10,10,3,2020,2,0,Peru,PE,31989256,9,0
2020-03-11,11,3,2020,2,0,Peru,PE,31989256,11,0
2020-03-12,12,3,2020,6,0,Peru,PE,31989256,17,0
2020-03-13,13,3,2020,5,0,Peru,PE,31989256,22,0
2020-03-14,14,3,2020,16,0,Peru,PE,31989256,38,0
2020-03-15,15,3,2020,5,0,Peru,PE,31989256,43,0
2020-03-16,16,3,2020,28,0,Peru,PE,31989256,71,0
2020-03-17,17,3,2020,15,0,Peru,PE,31989256,86,0
2020-03-18,18,3,2020,31,0,Peru,PE,31989256,117,0
2020-03-19,19,3,2020,28,0,Peru,PE,31989256,145,0
2020-03-20,20,3,2020,89,2,Peru,PE,31989256,234,2
2020-03-21,21,3,2020,29,1,Peru,PE,31989256,263,3
2020-03-22,22,3,2020,55,2,Peru,PE,31989256,318,5
2020-03-23,23,3,2020,45,0,Peru,PE,31989256,363,5
2020-03-24,24,3,2020,32,0,Peru,PE,31989256,395,5
2020-03-25,25,3,2020,21,2,Peru,PE,31989256,416,7
2020-03-26,26,3,2020,142,1,Peru,PE,31989256,558,8
2020-03-27,27,3,2020,22,1,Peru,PE,31989256,580,9
2020-03-28,28,3,2020,55,2,Peru,PE,31989256,635,11
2020-03-29,29,3,2020,36,5,Peru,PE,31989256,671,16
2020-03-30,30,3,2020,181,2,Peru,PE,31989256,852,18
2020-03-31,31,3,2020,98,6,Peru,PE,31989256,950,24
2020-04-01,1,4,2020,115,6,Peru,PE,31989256,1065,30
2020-04-02,2,4,2020,258,17,Peru,PE,31989256,1323,47
2020-04-03,3,4,2020,91,8,Peru,PE,31989256,1414,55
2020-04-04,4,4,2020,181,6,Peru,PE,31989256,1595,61
2020-04-05,5,4,2020,151,12,Peru,PE,31989256,1746,73
2020-04-06,6,4,2020,535,10,Peru,PE,31989256,2281,83
2020-04-07,7,4,2020,280,9,Peru,PE,31989256,2561,92
2020-04-08,8,4,2020,393,15,Peru,PE,31989256,2954,107
2020-04-09,9,4,2020,1388,14,Peru,PE,31989256,4342,121
2020-04-10,10,4,2020,914,17,Peru,PE,31989256,5256,138
2020-04-11,11,4,2020,641,31,Peru,PE,31989256,5897,169
2020-04-12,12,4,2020,951,12,Peru,PE,31989256,6848,181
2020-04-13,13,4,2020,671,12,Peru,PE,31989256,7519,193
2020-04-14,14,4,2020,0,0,Peru,PE,31989256,7519,193
