date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-19,19,3,2020,3,0,French_Polynesia,PF,277679,3,0
2020-03-20,20,3,2020,0,0,French_Polynesia,PF,277679,3,0
2020-03-21,21,3,2020,12,0,French_Polynesia,PF,277679,15,0
2020-03-22,22,3,2020,2,0,French_Polynesia,PF,277679,17,0
2020-03-23,23,3,2020,1,0,French_Polynesia,PF,277679,18,0
2020-03-24,24,3,2020,5,0,French_Polynesia,PF,277679,23,0
2020-03-25,25,3,2020,2,0,French_Polynesia,PF,277679,25,0
2020-03-26,26,3,2020,0,0,French_Polynesia,PF,277679,25,0
2020-03-27,27,3,2020,5,0,French_Polynesia,PF,277679,30,0
2020-03-28,28,3,2020,0,0,French_Polynesia,PF,277679,30,0
2020-03-29,29,3,2020,4,0,French_Polynesia,PF,277679,34,0
2020-03-30,30,3,2020,1,0,French_Polynesia,PF,277679,35,0
2020-03-31,31,3,2020,1,0,French_Polynesia,PF,277679,36,0
2020-04-01,1,4,2020,1,0,French_Polynesia,PF,277679,37,0
2020-04-02,2,4,2020,0,0,French_Polynesia,PF,277679,37,0
2020-04-03,3,4,2020,0,0,French_Polynesia,PF,277679,37,0
2020-04-04,4,4,2020,2,0,French_Polynesia,PF,277679,39,0
2020-04-05,5,4,2020,1,0,French_Polynesia,PF,277679,40,0
2020-04-06,6,4,2020,1,0,French_Polynesia,PF,277679,41,0
2020-04-07,7,4,2020,0,0,French_Polynesia,PF,277679,41,0
2020-04-08,8,4,2020,6,0,French_Polynesia,PF,277679,47,0
2020-04-09,9,4,2020,4,0,French_Polynesia,PF,277679,51,0
2020-04-10,10,4,2020,0,0,French_Polynesia,PF,277679,51,0
2020-04-11,11,4,2020,0,0,French_Polynesia,PF,277679,51,0
2020-04-12,12,4,2020,0,0,French_Polynesia,PF,277679,51,0
2020-04-13,13,4,2020,2,0,French_Polynesia,PF,277679,53,0
2020-04-14,14,4,2020,2,0,French_Polynesia,PF,277679,55,0
