date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-04,4,3,2020,1,0,Poland,PL,37978548,1,0
2020-03-07,7,3,2020,4,0,Poland,PL,37978548,5,0
2020-03-08,8,3,2020,1,0,Poland,PL,37978548,6,0
2020-03-09,9,3,2020,5,0,Poland,PL,37978548,11,0
2020-03-10,10,3,2020,6,0,Poland,PL,37978548,17,0
2020-03-11,11,3,2020,5,0,Poland,PL,37978548,22,0
2020-03-12,12,3,2020,9,0,Poland,PL,37978548,31,0
2020-03-13,13,3,2020,18,1,Poland,PL,37978548,49,1
2020-03-14,14,3,2020,19,1,Poland,PL,37978548,68,2
2020-03-15,15,3,2020,36,1,Poland,PL,37978548,104,3
2020-03-16,16,3,2020,21,0,Poland,PL,37978548,125,3
2020-03-17,17,3,2020,52,1,Poland,PL,37978548,177,4
2020-03-18,18,3,2020,61,1,Poland,PL,37978548,238,5
2020-03-19,19,3,2020,49,0,Poland,PL,37978548,287,5
2020-03-20,20,3,2020,68,0,Poland,PL,37978548,355,5
2020-03-21,21,3,2020,70,0,Poland,PL,37978548,425,5
2020-03-22,22,3,2020,111,0,Poland,PL,37978548,536,5
2020-03-23,23,3,2020,98,2,Poland,PL,37978548,634,7
2020-03-24,24,3,2020,115,1,Poland,PL,37978548,749,8
2020-03-25,25,3,2020,152,2,Poland,PL,37978548,901,10
2020-03-26,26,3,2020,150,4,Poland,PL,37978548,1051,14
2020-03-27,27,3,2020,170,2,Poland,PL,37978548,1221,16
2020-03-28,28,3,2020,168,0,Poland,PL,37978548,1389,16
2020-03-29,29,3,2020,249,2,Poland,PL,37978548,1638,18
2020-03-30,30,3,2020,224,4,Poland,PL,37978548,1862,22
2020-03-31,31,3,2020,193,9,Poland,PL,37978548,2055,31
2020-04-01,1,4,2020,256,2,Poland,PL,37978548,2311,33
2020-04-02,2,4,2020,243,10,Poland,PL,37978548,2554,43
2020-04-03,3,4,2020,392,14,Poland,PL,37978548,2946,57
2020-04-04,4,4,2020,437,14,Poland,PL,37978548,3383,71
2020-04-05,5,4,2020,244,8,Poland,PL,37978548,3627,79
2020-04-06,6,4,2020,475,15,Poland,PL,37978548,4102,94
2020-04-07,7,4,2020,311,13,Poland,PL,37978548,4413,107
2020-04-08,8,4,2020,435,22,Poland,PL,37978548,4848,129
2020-04-09,9,4,2020,357,30,Poland,PL,37978548,5205,159
2020-04-10,10,4,2020,370,15,Poland,PL,37978548,5575,174
2020-04-11,11,4,2020,380,7,Poland,PL,37978548,5955,181
2020-04-12,12,4,2020,401,27,Poland,PL,37978548,6356,208
2020-04-13,13,4,2020,318,24,Poland,PL,37978548,6674,232
2020-04-14,14,4,2020,260,13,Poland,PL,37978548,6934,245
