date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-28,28,3,2020,64,2,Puerto_Rico,PR,3195153,64,2
2020-03-29,29,3,2020,36,1,Puerto_Rico,PR,3195153,100,3
2020-03-30,30,3,2020,27,2,Puerto_Rico,PR,3195153,127,5
2020-03-31,31,3,2020,47,1,Puerto_Rico,PR,3195153,174,6
2020-04-01,1,4,2020,65,2,Puerto_Rico,PR,3195153,239,8
2020-04-02,2,4,2020,47,3,Puerto_Rico,PR,3195153,286,11
2020-04-03,3,4,2020,30,1,Puerto_Rico,PR,3195153,316,12
2020-04-04,4,4,2020,62,3,Puerto_Rico,PR,3195153,378,15
2020-04-05,5,4,2020,74,3,Puerto_Rico,PR,3195153,452,18
2020-04-06,6,4,2020,23,2,Puerto_Rico,PR,3195153,475,20
2020-04-07,7,4,2020,38,1,Puerto_Rico,PR,3195153,513,21
2020-04-08,8,4,2020,60,2,Puerto_Rico,PR,3195153,573,23
2020-04-09,9,4,2020,47,1,Puerto_Rico,PR,3195153,620,24
2020-04-10,10,4,2020,63,9,Puerto_Rico,PR,3195153,683,33
2020-04-11,11,4,2020,42,6,Puerto_Rico,PR,3195153,725,39
2020-04-12,12,4,2020,63,3,Puerto_Rico,PR,3195153,788,42
2020-04-13,13,4,2020,109,2,Puerto_Rico,PR,3195153,897,44
2020-04-14,14,4,2020,6,1,Puerto_Rico,PR,3195153,903,45
