date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-06,6,3,2020,7,0,Palestine,PS,4569087,7,0
2020-03-07,7,3,2020,9,0,Palestine,PS,4569087,16,0
2020-03-08,8,3,2020,3,0,Palestine,PS,4569087,19,0
2020-03-10,10,3,2020,1,0,Palestine,PS,4569087,20,0
2020-03-11,11,3,2020,9,0,Palestine,PS,4569087,29,0
2020-03-12,12,3,2020,1,0,Palestine,PS,4569087,30,0
2020-03-14,14,3,2020,5,0,Palestine,PS,4569087,35,0
2020-03-15,15,3,2020,3,0,Palestine,PS,4569087,38,0
2020-03-16,16,3,2020,0,0,Palestine,PS,4569087,38,0
2020-03-17,17,3,2020,1,0,Palestine,PS,4569087,39,0
2020-03-18,18,3,2020,2,0,Palestine,PS,4569087,41,0
2020-03-19,19,3,2020,3,0,Palestine,PS,4569087,44,0
2020-03-20,20,3,2020,3,0,Palestine,PS,4569087,47,0
2020-03-21,21,3,2020,1,0,Palestine,PS,4569087,48,0
2020-03-22,22,3,2020,4,0,Palestine,PS,4569087,52,0
2020-03-23,23,3,2020,7,0,Palestine,PS,4569087,59,0
2020-03-24,24,3,2020,0,0,Palestine,PS,4569087,59,0
2020-03-25,25,3,2020,1,0,Palestine,PS,4569087,60,0
2020-03-26,26,3,2020,2,0,Palestine,PS,4569087,62,0
2020-03-27,27,3,2020,22,1,Palestine,PS,4569087,84,1
2020-03-28,28,3,2020,7,0,Palestine,PS,4569087,91,1
2020-03-29,29,3,2020,6,0,Palestine,PS,4569087,97,1
2020-03-30,30,3,2020,9,0,Palestine,PS,4569087,106,1
2020-03-31,31,3,2020,9,0,Palestine,PS,4569087,115,1
2020-04-01,1,4,2020,2,0,Palestine,PS,4569087,117,1
2020-04-02,2,4,2020,17,0,Palestine,PS,4569087,134,1
2020-04-03,3,4,2020,21,0,Palestine,PS,4569087,155,1
2020-04-04,4,4,2020,0,0,Palestine,PS,4569087,155,1
2020-04-06,6,4,2020,62,0,Palestine,PS,4569087,217,1
2020-04-07,7,4,2020,36,0,Palestine,PS,4569087,253,1
2020-04-08,8,4,2020,7,0,Palestine,PS,4569087,260,1
2020-04-09,9,4,2020,3,0,Palestine,PS,4569087,263,1
2020-04-10,10,4,2020,0,0,Palestine,PS,4569087,263,1
2020-04-11,11,4,2020,3,1,Palestine,PS,4569087,266,2
2020-04-12,12,4,2020,2,0,Palestine,PS,4569087,268,2
2020-04-13,13,4,2020,0,0,Palestine,PS,4569087,268,2
2020-04-14,14,4,2020,0,0,Palestine,PS,4569087,268,2
