date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-03,3,3,2020,2,0,Portugal,PT,10281762,2,0
2020-03-04,4,3,2020,2,0,Portugal,PT,10281762,4,0
2020-03-05,5,3,2020,1,0,Portugal,PT,10281762,5,0
2020-03-06,6,3,2020,4,0,Portugal,PT,10281762,9,0
2020-03-07,7,3,2020,4,0,Portugal,PT,10281762,13,0
2020-03-08,8,3,2020,8,0,Portugal,PT,10281762,21,0
2020-03-09,9,3,2020,9,0,Portugal,PT,10281762,30,0
2020-03-10,10,3,2020,9,0,Portugal,PT,10281762,39,0
2020-03-11,11,3,2020,2,0,Portugal,PT,10281762,41,0
2020-03-12,12,3,2020,18,0,Portugal,PT,10281762,59,0
2020-03-13,13,3,2020,19,0,Portugal,PT,10281762,78,0
2020-03-14,14,3,2020,34,0,Portugal,PT,10281762,112,0
2020-03-15,15,3,2020,57,0,Portugal,PT,10281762,169,0
2020-03-16,16,3,2020,76,0,Portugal,PT,10281762,245,0
2020-03-17,17,3,2020,86,0,Portugal,PT,10281762,331,0
2020-03-18,18,3,2020,117,1,Portugal,PT,10281762,448,1
2020-03-19,19,3,2020,194,1,Portugal,PT,10281762,642,2
2020-03-20,20,3,2020,143,1,Portugal,PT,10281762,785,3
2020-03-21,21,3,2020,235,3,Portugal,PT,10281762,1020,6
2020-03-22,22,3,2020,260,6,Portugal,PT,10281762,1280,12
2020-03-23,23,3,2020,320,2,Portugal,PT,10281762,1600,14
2020-03-24,24,3,2020,460,9,Portugal,PT,10281762,2060,23
2020-03-25,25,3,2020,302,10,Portugal,PT,10281762,2362,33
2020-03-26,26,3,2020,633,10,Portugal,PT,10281762,2995,43
2020-03-27,27,3,2020,549,17,Portugal,PT,10281762,3544,60
2020-03-28,28,3,2020,724,16,Portugal,PT,10281762,4268,76
2020-03-29,29,3,2020,902,24,Portugal,PT,10281762,5170,100
2020-03-30,30,3,2020,792,19,Portugal,PT,10281762,5962,119
2020-03-31,31,3,2020,446,21,Portugal,PT,10281762,6408,140
2020-04-01,1,4,2020,1035,20,Portugal,PT,10281762,7443,160
2020-04-02,2,4,2020,808,27,Portugal,PT,10281762,8251,187
2020-04-03,3,4,2020,783,22,Portugal,PT,10281762,9034,209
2020-04-04,4,4,2020,852,37,Portugal,PT,10281762,9886,246
2020-04-05,5,4,2020,638,20,Portugal,PT,10281762,10524,266
2020-04-06,6,4,2020,754,29,Portugal,PT,10281762,11278,295
2020-04-07,7,4,2020,452,16,Portugal,PT,10281762,11730,311
2020-04-08,8,4,2020,712,34,Portugal,PT,10281762,12442,345
2020-04-09,9,4,2020,699,35,Portugal,PT,10281762,13141,380
2020-04-10,10,4,2020,815,29,Portugal,PT,10281762,13956,409
2020-04-11,11,4,2020,1516,26,Portugal,PT,10281762,15472,435
2020-04-12,12,4,2020,515,35,Portugal,PT,10281762,15987,470
2020-04-13,13,4,2020,598,34,Portugal,PT,10281762,16585,504
2020-04-14,14,4,2020,349,31,Portugal,PT,10281762,16934,535
