date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-08,8,3,2020,1,0,Paraguay,PY,6956071,1,0
2020-03-11,11,3,2020,4,0,Paraguay,PY,6956071,5,0
2020-03-13,13,3,2020,1,0,Paraguay,PY,6956071,6,0
2020-03-14,14,3,2020,1,0,Paraguay,PY,6956071,7,0
2020-03-16,16,3,2020,1,0,Paraguay,PY,6956071,8,0
2020-03-17,17,3,2020,1,0,Paraguay,PY,6956071,9,0
2020-03-18,18,3,2020,2,0,Paraguay,PY,6956071,11,0
2020-03-19,19,3,2020,0,0,Paraguay,PY,6956071,11,0
2020-03-20,20,3,2020,2,0,Paraguay,PY,6956071,13,0
2020-03-21,21,3,2020,5,1,Paraguay,PY,6956071,18,1
2020-03-22,22,3,2020,4,0,Paraguay,PY,6956071,22,1
2020-03-23,23,3,2020,0,0,Paraguay,PY,6956071,22,1
2020-03-24,24,3,2020,5,0,Paraguay,PY,6956071,27,1
2020-03-25,25,3,2020,10,2,Paraguay,PY,6956071,37,3
2020-03-26,26,3,2020,4,0,Paraguay,PY,6956071,41,3
2020-03-27,27,3,2020,11,0,Paraguay,PY,6956071,52,3
2020-03-28,28,3,2020,4,0,Paraguay,PY,6956071,56,3
2020-03-29,29,3,2020,3,0,Paraguay,PY,6956071,59,3
2020-03-30,30,3,2020,5,0,Paraguay,PY,6956071,64,3
2020-03-31,31,3,2020,1,0,Paraguay,PY,6956071,65,3
2020-04-01,1,4,2020,4,0,Paraguay,PY,6956071,69,3
2020-04-02,2,4,2020,0,0,Paraguay,PY,6956071,69,3
2020-04-03,3,4,2020,8,0,Paraguay,PY,6956071,77,3
2020-04-04,4,4,2020,19,0,Paraguay,PY,6956071,96,3
2020-04-05,5,4,2020,8,0,Paraguay,PY,6956071,104,3
2020-04-06,6,4,2020,9,2,Paraguay,PY,6956071,113,5
2020-04-07,7,4,2020,0,0,Paraguay,PY,6956071,113,5
2020-04-08,8,4,2020,2,0,Paraguay,PY,6956071,115,5
2020-04-09,9,4,2020,9,0,Paraguay,PY,6956071,124,5
2020-04-10,10,4,2020,5,1,Paraguay,PY,6956071,129,6
2020-04-11,11,4,2020,4,0,Paraguay,PY,6956071,133,6
2020-04-12,12,4,2020,1,0,Paraguay,PY,6956071,134,6
2020-04-13,13,4,2020,13,0,Paraguay,PY,6956071,147,6
2020-04-14,14,4,2020,12,1,Paraguay,PY,6956071,159,7
