date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-07,7,3,2020,1,0,Serbia,RS,6982084,1,0
2020-03-11,11,3,2020,4,0,Serbia,RS,6982084,5,0
2020-03-12,12,3,2020,13,0,Serbia,RS,6982084,18,0
2020-03-13,13,3,2020,6,0,Serbia,RS,6982084,24,0
2020-03-14,14,3,2020,17,0,Serbia,RS,6982084,41,0
2020-03-15,15,3,2020,5,0,Serbia,RS,6982084,46,0
2020-03-16,16,3,2020,9,0,Serbia,RS,6982084,55,0
2020-03-17,17,3,2020,2,0,Serbia,RS,6982084,57,0
2020-03-18,18,3,2020,15,0,Serbia,RS,6982084,72,0
2020-03-19,19,3,2020,22,0,Serbia,RS,6982084,94,0
2020-03-20,20,3,2020,32,0,Serbia,RS,6982084,126,0
2020-03-21,21,3,2020,9,1,Serbia,RS,6982084,135,1
2020-03-22,22,3,2020,14,0,Serbia,RS,6982084,149,1
2020-03-23,23,3,2020,39,0,Serbia,RS,6982084,188,1
2020-03-24,24,3,2020,34,0,Serbia,RS,6982084,222,1
2020-03-25,25,3,2020,27,0,Serbia,RS,6982084,249,1
2020-03-26,26,3,2020,54,1,Serbia,RS,6982084,303,2
2020-03-27,27,3,2020,81,1,Serbia,RS,6982084,384,3
2020-03-28,28,3,2020,73,3,Serbia,RS,6982084,457,6
2020-03-29,29,3,2020,202,4,Serbia,RS,6982084,659,10
2020-03-30,30,3,2020,82,3,Serbia,RS,6982084,741,13
2020-03-31,31,3,2020,0,0,Serbia,RS,6982084,741,13
2020-04-01,1,4,2020,159,10,Serbia,RS,6982084,900,23
2020-04-02,2,4,2020,160,0,Serbia,RS,6982084,1060,23
2020-04-03,3,4,2020,111,8,Serbia,RS,6982084,1171,31
2020-04-04,4,4,2020,305,8,Serbia,RS,6982084,1476,39
2020-04-05,5,4,2020,148,5,Serbia,RS,6982084,1624,44
2020-04-06,6,4,2020,284,7,Serbia,RS,6982084,1908,51
2020-04-07,7,4,2020,292,7,Serbia,RS,6982084,2200,58
2020-04-08,8,4,2020,247,3,Serbia,RS,6982084,2447,61
2020-04-09,9,4,2020,219,4,Serbia,RS,6982084,2666,65
2020-04-10,10,4,2020,201,1,Serbia,RS,6982084,2867,66
2020-04-11,11,4,2020,238,5,Serbia,RS,6982084,3105,71
2020-04-12,12,4,2020,275,3,Serbia,RS,6982084,3380,74
2020-04-13,13,4,2020,250,6,Serbia,RS,6982084,3630,80
2020-04-14,14,4,2020,0,0,Serbia,RS,6982084,3630,80
