date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-05,5,3,2020,1,0,Slovenia,SI,2067372,1,0
2020-03-06,6,3,2020,5,0,Slovenia,SI,2067372,6,0
2020-03-07,7,3,2020,3,0,Slovenia,SI,2067372,9,0
2020-03-08,8,3,2020,3,0,Slovenia,SI,2067372,12,0
2020-03-09,9,3,2020,4,0,Slovenia,SI,2067372,16,0
2020-03-11,11,3,2020,15,0,Slovenia,SI,2067372,31,0
2020-03-12,12,3,2020,26,0,Slovenia,SI,2067372,57,0
2020-03-13,13,3,2020,39,0,Slovenia,SI,2067372,96,0
2020-03-14,14,3,2020,45,0,Slovenia,SI,2067372,141,0
2020-03-15,15,3,2020,40,0,Slovenia,SI,2067372,181,0
2020-03-16,16,3,2020,38,0,Slovenia,SI,2067372,219,0
2020-03-17,17,3,2020,34,0,Slovenia,SI,2067372,253,0
2020-03-18,18,3,2020,22,1,Slovenia,SI,2067372,275,1
2020-03-19,19,3,2020,11,0,Slovenia,SI,2067372,286,1
2020-03-20,20,3,2020,33,0,Slovenia,SI,2067372,319,1
2020-03-21,21,3,2020,22,0,Slovenia,SI,2067372,341,1
2020-03-22,22,3,2020,42,0,Slovenia,SI,2067372,383,1
2020-03-23,23,3,2020,31,0,Slovenia,SI,2067372,414,1
2020-03-24,24,3,2020,28,0,Slovenia,SI,2067372,442,1
2020-03-25,25,3,2020,38,2,Slovenia,SI,2067372,480,3
2020-03-26,26,3,2020,48,1,Slovenia,SI,2067372,528,4
2020-03-27,27,3,2020,49,1,Slovenia,SI,2067372,577,5
2020-03-28,28,3,2020,55,4,Slovenia,SI,2067372,632,9
2020-03-29,29,3,2020,59,0,Slovenia,SI,2067372,691,9
2020-03-30,30,3,2020,39,2,Slovenia,SI,2067372,730,11
2020-03-31,31,3,2020,33,0,Slovenia,SI,2067372,763,11
2020-04-01,1,4,2020,51,2,Slovenia,SI,2067372,814,13
2020-04-02,2,4,2020,27,2,Slovenia,SI,2067372,841,15
2020-04-03,3,4,2020,56,1,Slovenia,SI,2067372,897,16
2020-04-04,4,4,2020,37,4,Slovenia,SI,2067372,934,20
2020-04-05,5,4,2020,43,2,Slovenia,SI,2067372,977,22
2020-04-06,6,4,2020,20,6,Slovenia,SI,2067372,997,28
2020-04-07,7,4,2020,24,2,Slovenia,SI,2067372,1021,30
2020-04-08,8,4,2020,34,6,Slovenia,SI,2067372,1055,36
2020-04-09,9,4,2020,36,4,Slovenia,SI,2067372,1091,40
2020-04-10,10,4,2020,33,3,Slovenia,SI,2067372,1124,43
2020-04-11,11,4,2020,36,2,Slovenia,SI,2067372,1160,45
2020-04-12,12,4,2020,28,5,Slovenia,SI,2067372,1188,50
2020-04-13,13,4,2020,17,3,Slovenia,SI,2067372,1205,53
2020-04-14,14,4,2020,7,2,Slovenia,SI,2067372,1212,55
