date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-07,7,3,2020,1,0,Slovakia,SK,5447011,1,0
2020-03-08,8,3,2020,2,0,Slovakia,SK,5447011,3,0
2020-03-09,9,3,2020,2,0,Slovakia,SK,5447011,5,0
2020-03-11,11,3,2020,2,0,Slovakia,SK,5447011,7,0
2020-03-12,12,3,2020,3,0,Slovakia,SK,5447011,10,0
2020-03-13,13,3,2020,11,0,Slovakia,SK,5447011,21,0
2020-03-14,14,3,2020,9,0,Slovakia,SK,5447011,30,0
2020-03-15,15,3,2020,14,0,Slovakia,SK,5447011,44,0
2020-03-16,16,3,2020,17,0,Slovakia,SK,5447011,61,0
2020-03-17,17,3,2020,23,0,Slovakia,SK,5447011,84,0
2020-03-18,18,3,2020,13,0,Slovakia,SK,5447011,97,0
2020-03-19,19,3,2020,10,0,Slovakia,SK,5447011,107,0
2020-03-20,20,3,2020,16,0,Slovakia,SK,5447011,123,0
2020-03-21,21,3,2020,14,0,Slovakia,SK,5447011,137,0
2020-03-22,22,3,2020,41,0,Slovakia,SK,5447011,178,0
2020-03-23,23,3,2020,7,0,Slovakia,SK,5447011,185,0
2020-03-24,24,3,2020,6,0,Slovakia,SK,5447011,191,0
2020-03-25,25,3,2020,13,0,Slovakia,SK,5447011,204,0
2020-03-26,26,3,2020,12,0,Slovakia,SK,5447011,216,0
2020-03-27,27,3,2020,10,0,Slovakia,SK,5447011,226,0
2020-03-28,28,3,2020,69,0,Slovakia,SK,5447011,295,0
2020-03-29,29,3,2020,0,0,Slovakia,SK,5447011,295,0
2020-03-30,30,3,2020,41,0,Slovakia,SK,5447011,336,0
2020-03-31,31,3,2020,0,0,Slovakia,SK,5447011,336,0
2020-04-01,1,4,2020,27,0,Slovakia,SK,5447011,363,0
2020-04-02,2,4,2020,37,0,Slovakia,SK,5447011,400,0
2020-04-03,3,4,2020,26,0,Slovakia,SK,5447011,426,0
2020-04-04,4,4,2020,24,0,Slovakia,SK,5447011,450,0
2020-04-05,5,4,2020,21,0,Slovakia,SK,5447011,471,0
2020-04-06,6,4,2020,14,0,Slovakia,SK,5447011,485,0
2020-04-07,7,4,2020,49,2,Slovakia,SK,5447011,534,2
2020-04-08,8,4,2020,47,0,Slovakia,SK,5447011,581,2
2020-04-09,9,4,2020,101,0,Slovakia,SK,5447011,682,2
2020-04-10,10,4,2020,19,0,Slovakia,SK,5447011,701,2
2020-04-11,11,4,2020,14,0,Slovakia,SK,5447011,715,2
2020-04-12,12,4,2020,13,0,Slovakia,SK,5447011,728,2
2020-04-13,13,4,2020,14,0,Slovakia,SK,5447011,742,2
2020-04-14,14,4,2020,27,0,Slovakia,SK,5447011,769,2
