date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-03,3,3,2020,1,0,Senegal,SN,15854360,1,0
2020-03-05,5,3,2020,2,0,Senegal,SN,15854360,3,0
2020-03-06,6,3,2020,1,0,Senegal,SN,15854360,4,0
2020-03-13,13,3,2020,2,0,Senegal,SN,15854360,6,0
2020-03-14,14,3,2020,13,0,Senegal,SN,15854360,19,0
2020-03-15,15,3,2020,2,0,Senegal,SN,15854360,21,0
2020-03-16,16,3,2020,5,0,Senegal,SN,15854360,26,0
2020-03-17,17,3,2020,1,0,Senegal,SN,15854360,27,0
2020-03-18,18,3,2020,4,0,Senegal,SN,15854360,31,0
2020-03-19,19,3,2020,5,0,Senegal,SN,15854360,36,0
2020-03-20,20,3,2020,0,0,Senegal,SN,15854360,36,0
2020-03-21,21,3,2020,11,0,Senegal,SN,15854360,47,0
2020-03-22,22,3,2020,9,0,Senegal,SN,15854360,56,0
2020-03-23,23,3,2020,11,0,Senegal,SN,15854360,67,0
2020-03-24,24,3,2020,12,0,Senegal,SN,15854360,79,0
2020-03-25,25,3,2020,7,0,Senegal,SN,15854360,86,0
2020-03-26,26,3,2020,13,0,Senegal,SN,15854360,99,0
2020-03-27,27,3,2020,6,0,Senegal,SN,15854360,105,0
2020-03-28,28,3,2020,14,0,Senegal,SN,15854360,119,0
2020-03-29,29,3,2020,11,0,Senegal,SN,15854360,130,0
2020-03-30,30,3,2020,12,0,Senegal,SN,15854360,142,0
2020-03-31,31,3,2020,20,0,Senegal,SN,15854360,162,0
2020-04-01,1,4,2020,13,0,Senegal,SN,15854360,175,0
2020-04-02,2,4,2020,15,1,Senegal,SN,15854360,190,1
2020-04-03,3,4,2020,5,0,Senegal,SN,15854360,195,1
2020-04-04,4,4,2020,12,0,Senegal,SN,15854360,207,1
2020-04-05,5,4,2020,12,1,Senegal,SN,15854360,219,2
2020-04-06,6,4,2020,3,0,Senegal,SN,15854360,222,2
2020-04-07,7,4,2020,4,0,Senegal,SN,15854360,226,2
2020-04-08,8,4,2020,11,0,Senegal,SN,15854360,237,2
2020-04-09,9,4,2020,7,0,Senegal,SN,15854360,244,2
2020-04-10,10,4,2020,6,0,Senegal,SN,15854360,250,2
2020-04-11,11,4,2020,15,0,Senegal,SN,15854360,265,2
2020-04-12,12,4,2020,13,0,Senegal,SN,15854360,278,2
2020-04-13,13,4,2020,2,0,Senegal,SN,15854360,280,2
2020-04-14,14,4,2020,11,0,Senegal,SN,15854360,291,2
