date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-19,19,3,2020,1,0,El_Salvador,SV,6420744,1,0
2020-03-20,20,3,2020,0,0,El_Salvador,SV,6420744,1,0
2020-03-21,21,3,2020,2,0,El_Salvador,SV,6420744,3,0
2020-03-22,22,3,2020,0,0,El_Salvador,SV,6420744,3,0
2020-03-23,23,3,2020,0,0,El_Salvador,SV,6420744,3,0
2020-03-24,24,3,2020,2,0,El_Salvador,SV,6420744,5,0
2020-03-25,25,3,2020,4,0,El_Salvador,SV,6420744,9,0
2020-03-26,26,3,2020,4,0,El_Salvador,SV,6420744,13,0
2020-03-27,27,3,2020,0,0,El_Salvador,SV,6420744,13,0
2020-03-28,28,3,2020,0,0,El_Salvador,SV,6420744,13,0
2020-03-29,29,3,2020,6,0,El_Salvador,SV,6420744,19,0
2020-03-30,30,3,2020,11,0,El_Salvador,SV,6420744,30,0
2020-03-31,31,3,2020,2,0,El_Salvador,SV,6420744,32,0
2020-04-01,1,4,2020,0,1,El_Salvador,SV,6420744,32,1
2020-04-02,2,4,2020,9,1,El_Salvador,SV,6420744,41,2
2020-04-03,3,4,2020,5,0,El_Salvador,SV,6420744,46,2
2020-04-04,4,4,2020,10,1,El_Salvador,SV,6420744,56,3
2020-04-05,5,4,2020,6,0,El_Salvador,SV,6420744,62,3
2020-04-06,6,4,2020,7,0,El_Salvador,SV,6420744,69,3
2020-04-07,7,4,2020,9,1,El_Salvador,SV,6420744,78,4
2020-04-08,8,4,2020,0,0,El_Salvador,SV,6420744,78,4
2020-04-09,9,4,2020,25,1,El_Salvador,SV,6420744,103,5
2020-04-10,10,4,2020,14,1,El_Salvador,SV,6420744,117,6
2020-04-11,11,4,2020,1,0,El_Salvador,SV,6420744,118,6
2020-04-12,12,4,2020,0,0,El_Salvador,SV,6420744,118,6
2020-04-13,13,4,2020,7,0,El_Salvador,SV,6420744,125,6
2020-04-14,14,4,2020,24,0,El_Salvador,SV,6420744,149,6
