date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-03,3,3,2020,1,0,Sint_Maarten,SX,41486,1,0
2020-03-26,26,3,2020,1,0,Sint_Maarten,SX,41486,2,0
2020-03-27,27,3,2020,0,0,Sint_Maarten,SX,41486,2,0
2020-03-28,28,3,2020,1,0,Sint_Maarten,SX,41486,3,0
2020-03-29,29,3,2020,0,0,Sint_Maarten,SX,41486,3,0
2020-03-30,30,3,2020,0,0,Sint_Maarten,SX,41486,3,0
2020-04-01,1,4,2020,3,0,Sint_Maarten,SX,41486,6,0
2020-04-02,2,4,2020,10,1,Sint_Maarten,SX,41486,16,1
2020-04-03,3,4,2020,7,1,Sint_Maarten,SX,41486,23,2
2020-04-04,4,4,2020,0,0,Sint_Maarten,SX,41486,23,2
2020-04-05,5,4,2020,0,0,Sint_Maarten,SX,41486,23,2
2020-04-06,6,4,2020,2,2,Sint_Maarten,SX,41486,25,4
2020-04-07,7,4,2020,0,0,Sint_Maarten,SX,41486,25,4
2020-04-08,8,4,2020,15,4,Sint_Maarten,SX,41486,40,8
2020-04-09,9,4,2020,0,0,Sint_Maarten,SX,41486,40,8
2020-04-10,10,4,2020,10,0,Sint_Maarten,SX,41486,50,8
2020-04-11,11,4,2020,0,1,Sint_Maarten,SX,41486,50,9
2020-04-12,12,4,2020,0,0,Sint_Maarten,SX,41486,50,9
2020-04-13,13,4,2020,0,0,Sint_Maarten,SX,41486,50,9
2020-04-14,14,4,2020,2,0,Sint_Maarten,SX,41486,52,9
