date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-07,7,3,2020,1,0,Togo,TG,7889094,1,0
2020-03-15,15,3,2020,0,0,Togo,TG,7889094,1,0
2020-03-16,16,3,2020,0,0,Togo,TG,7889094,1,0
2020-03-17,17,3,2020,0,0,Togo,TG,7889094,1,0
2020-03-18,18,3,2020,0,0,Togo,TG,7889094,1,0
2020-03-19,19,3,2020,0,0,Togo,TG,7889094,1,0
2020-03-20,20,3,2020,0,0,Togo,TG,7889094,1,0
2020-03-21,21,3,2020,8,0,Togo,TG,7889094,9,0
2020-03-22,22,3,2020,6,0,Togo,TG,7889094,15,0
2020-03-23,23,3,2020,0,0,Togo,TG,7889094,15,0
2020-03-24,24,3,2020,3,0,Togo,TG,7889094,18,0
2020-03-25,25,3,2020,0,0,Togo,TG,7889094,18,0
2020-03-26,26,3,2020,5,0,Togo,TG,7889094,23,0
2020-03-27,27,3,2020,1,0,Togo,TG,7889094,24,0
2020-03-28,28,3,2020,1,1,Togo,TG,7889094,25,1
2020-03-29,29,3,2020,3,0,Togo,TG,7889094,28,1
2020-03-30,30,3,2020,2,0,Togo,TG,7889094,30,1
2020-03-31,31,3,2020,4,0,Togo,TG,7889094,34,1
2020-04-01,1,4,2020,0,0,Togo,TG,7889094,34,1
2020-04-02,2,4,2020,2,1,Togo,TG,7889094,36,2
2020-04-03,3,4,2020,3,0,Togo,TG,7889094,39,2
2020-04-04,4,4,2020,1,1,Togo,TG,7889094,40,3
2020-04-05,5,4,2020,1,0,Togo,TG,7889094,41,3
2020-04-06,6,4,2020,3,0,Togo,TG,7889094,44,3
2020-04-07,7,4,2020,14,0,Togo,TG,7889094,58,3
2020-04-08,8,4,2020,7,0,Togo,TG,7889094,65,3
2020-04-09,9,4,2020,5,0,Togo,TG,7889094,70,3
2020-04-10,10,4,2020,3,0,Togo,TG,7889094,73,3
2020-04-11,11,4,2020,3,0,Togo,TG,7889094,76,3
2020-04-12,12,4,2020,0,0,Togo,TG,7889094,76,3
2020-04-13,13,4,2020,0,0,Togo,TG,7889094,76,3
2020-04-14,14,4,2020,1,0,Togo,TG,7889094,77,3
