date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-03,3,3,2020,1,0,Tunisia,TN,11565204,1,0
2020-03-10,10,3,2020,1,0,Tunisia,TN,11565204,2,0
2020-03-11,11,3,2020,3,0,Tunisia,TN,11565204,5,0
2020-03-12,12,3,2020,2,0,Tunisia,TN,11565204,7,0
2020-03-13,13,3,2020,6,0,Tunisia,TN,11565204,13,0
2020-03-14,14,3,2020,3,0,Tunisia,TN,11565204,16,0
2020-03-15,15,3,2020,0,0,Tunisia,TN,11565204,16,0
2020-03-16,16,3,2020,2,0,Tunisia,TN,11565204,18,0
2020-03-17,17,3,2020,2,0,Tunisia,TN,11565204,20,0
2020-03-18,18,3,2020,4,0,Tunisia,TN,11565204,24,0
2020-03-19,19,3,2020,5,0,Tunisia,TN,11565204,29,0
2020-03-20,20,3,2020,10,0,Tunisia,TN,11565204,39,0
2020-03-21,21,3,2020,15,1,Tunisia,TN,11565204,54,1
2020-03-22,22,3,2020,6,0,Tunisia,TN,11565204,60,1
2020-03-23,23,3,2020,15,2,Tunisia,TN,11565204,75,3
2020-03-24,24,3,2020,14,0,Tunisia,TN,11565204,89,3
2020-03-25,25,3,2020,25,0,Tunisia,TN,11565204,114,3
2020-03-26,26,3,2020,59,2,Tunisia,TN,11565204,173,5
2020-03-27,27,3,2020,0,0,Tunisia,TN,11565204,173,5
2020-03-28,28,3,2020,54,1,Tunisia,TN,11565204,227,6
2020-03-29,29,3,2020,0,0,Tunisia,TN,11565204,227,6
2020-03-30,30,3,2020,51,2,Tunisia,TN,11565204,278,8
2020-03-31,31,3,2020,34,0,Tunisia,TN,11565204,312,8
2020-04-01,1,4,2020,50,1,Tunisia,TN,11565204,362,9
2020-04-02,2,4,2020,32,1,Tunisia,TN,11565204,394,10
2020-04-03,3,4,2020,61,3,Tunisia,TN,11565204,455,13
2020-04-04,4,4,2020,0,0,Tunisia,TN,11565204,455,13
2020-04-05,5,4,2020,40,5,Tunisia,TN,11565204,495,18
2020-04-06,6,4,2020,58,1,Tunisia,TN,11565204,553,19
2020-04-07,7,4,2020,21,3,Tunisia,TN,11565204,574,22
2020-04-08,8,4,2020,22,0,Tunisia,TN,11565204,596,22
2020-04-09,9,4,2020,27,1,Tunisia,TN,11565204,623,23
2020-04-10,10,4,2020,20,2,Tunisia,TN,11565204,643,25
2020-04-11,11,4,2020,28,0,Tunisia,TN,11565204,671,25
2020-04-12,12,4,2020,14,3,Tunisia,TN,11565204,685,28
2020-04-13,13,4,2020,22,3,Tunisia,TN,11565204,707,31
2020-04-14,14,4,2020,19,3,Tunisia,TN,11565204,726,34
