date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-12,12,3,2020,1,0,Turkey,TR,82319724,1,0
2020-03-13,13,3,2020,1,0,Turkey,TR,82319724,2,0
2020-03-16,16,3,2020,16,0,Turkey,TR,82319724,18,0
2020-03-17,17,3,2020,29,0,Turkey,TR,82319724,47,0
2020-03-18,18,3,2020,51,0,Turkey,TR,82319724,98,0
2020-03-19,19,3,2020,93,1,Turkey,TR,82319724,191,1
2020-03-20,20,3,2020,168,3,Turkey,TR,82319724,359,4
2020-03-21,21,3,2020,311,5,Turkey,TR,82319724,670,9
2020-03-22,22,3,2020,277,12,Turkey,TR,82319724,947,21
2020-03-23,23,3,2020,289,9,Turkey,TR,82319724,1236,30
2020-03-24,24,3,2020,293,7,Turkey,TR,82319724,1529,37
2020-03-25,25,3,2020,343,7,Turkey,TR,82319724,1872,44
2020-03-26,26,3,2020,561,15,Turkey,TR,82319724,2433,59
2020-03-27,27,3,2020,1196,16,Turkey,TR,82319724,3629,75
2020-03-28,28,3,2020,2069,17,Turkey,TR,82319724,5698,92
2020-03-29,29,3,2020,1704,16,Turkey,TR,82319724,7402,108
2020-03-30,30,3,2020,1815,23,Turkey,TR,82319724,9217,131
2020-03-31,31,3,2020,1610,37,Turkey,TR,82319724,10827,168
2020-04-01,1,4,2020,2704,46,Turkey,TR,82319724,13531,214
2020-04-02,2,4,2020,2148,63,Turkey,TR,82319724,15679,277
2020-04-03,3,4,2020,2456,79,Turkey,TR,82319724,18135,356
2020-04-04,4,4,2020,2786,69,Turkey,TR,82319724,20921,425
2020-04-05,5,4,2020,3013,76,Turkey,TR,82319724,23934,501
2020-04-06,6,4,2020,3135,73,Turkey,TR,82319724,27069,574
2020-04-07,7,4,2020,3148,75,Turkey,TR,82319724,30217,649
2020-04-08,8,4,2020,3892,76,Turkey,TR,82319724,34109,725
2020-04-09,9,4,2020,4117,87,Turkey,TR,82319724,38226,812
2020-04-10,10,4,2020,4056,96,Turkey,TR,82319724,42282,908
2020-04-11,11,4,2020,4747,98,Turkey,TR,82319724,47029,1006
2020-04-12,12,4,2020,5138,95,Turkey,TR,82319724,52167,1101
2020-04-13,13,4,2020,4789,97,Turkey,TR,82319724,56956,1198
2020-04-14,14,4,2020,4093,98,Turkey,TR,82319724,61049,1296
