date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-13,13,3,2020,1,0,Trinidad_and_Tobago,TT,1389858,1,0
2020-03-14,14,3,2020,1,0,Trinidad_and_Tobago,TT,1389858,2,0
2020-03-15,15,3,2020,0,0,Trinidad_and_Tobago,TT,1389858,2,0
2020-03-16,16,3,2020,2,0,Trinidad_and_Tobago,TT,1389858,4,0
2020-03-17,17,3,2020,1,0,Trinidad_and_Tobago,TT,1389858,5,0
2020-03-18,18,3,2020,2,0,Trinidad_and_Tobago,TT,1389858,7,0
2020-03-19,19,3,2020,2,0,Trinidad_and_Tobago,TT,1389858,9,0
2020-03-20,20,3,2020,0,0,Trinidad_and_Tobago,TT,1389858,9,0
2020-03-21,21,3,2020,0,0,Trinidad_and_Tobago,TT,1389858,9,0
2020-03-22,22,3,2020,40,0,Trinidad_and_Tobago,TT,1389858,49,0
2020-03-23,23,3,2020,1,0,Trinidad_and_Tobago,TT,1389858,50,0
2020-03-24,24,3,2020,1,0,Trinidad_and_Tobago,TT,1389858,51,0
2020-03-25,25,3,2020,6,0,Trinidad_and_Tobago,TT,1389858,57,0
2020-03-26,26,3,2020,3,1,Trinidad_and_Tobago,TT,1389858,60,1
2020-03-27,27,3,2020,5,0,Trinidad_and_Tobago,TT,1389858,65,1
2020-03-28,28,3,2020,1,1,Trinidad_and_Tobago,TT,1389858,66,2
2020-03-29,29,3,2020,8,0,Trinidad_and_Tobago,TT,1389858,74,2
2020-03-30,30,3,2020,4,1,Trinidad_and_Tobago,TT,1389858,78,3
2020-03-31,31,3,2020,7,0,Trinidad_and_Tobago,TT,1389858,85,3
2020-04-01,1,4,2020,2,0,Trinidad_and_Tobago,TT,1389858,87,3
2020-04-02,2,4,2020,2,2,Trinidad_and_Tobago,TT,1389858,89,5
2020-04-03,3,4,2020,8,1,Trinidad_and_Tobago,TT,1389858,97,6
2020-04-04,4,4,2020,3,0,Trinidad_and_Tobago,TT,1389858,100,6
2020-04-05,5,4,2020,3,0,Trinidad_and_Tobago,TT,1389858,103,6
2020-04-06,6,4,2020,1,1,Trinidad_and_Tobago,TT,1389858,104,7
2020-04-07,7,4,2020,1,1,Trinidad_and_Tobago,TT,1389858,105,8
2020-04-08,8,4,2020,2,0,Trinidad_and_Tobago,TT,1389858,107,8
2020-04-09,9,4,2020,0,0,Trinidad_and_Tobago,TT,1389858,107,8
2020-04-10,10,4,2020,2,0,Trinidad_and_Tobago,TT,1389858,109,8
2020-04-11,11,4,2020,0,0,Trinidad_and_Tobago,TT,1389858,109,8
2020-04-12,12,4,2020,3,0,Trinidad_and_Tobago,TT,1389858,112,8
2020-04-13,13,4,2020,1,0,Trinidad_and_Tobago,TT,1389858,113,8
2020-04-14,14,4,2020,0,0,Trinidad_and_Tobago,TT,1389858,113,8
