date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-04,4,3,2020,1,0,Ukraine,UA,44622516,1,0
2020-03-13,13,3,2020,2,0,Ukraine,UA,44622516,3,0
2020-03-16,16,3,2020,0,0,Ukraine,UA,44622516,3,0
2020-03-17,17,3,2020,2,0,Ukraine,UA,44622516,5,0
2020-03-18,18,3,2020,9,0,Ukraine,UA,44622516,14,0
2020-03-19,19,3,2020,5,2,Ukraine,UA,44622516,19,2
2020-03-20,20,3,2020,7,0,Ukraine,UA,44622516,26,2
2020-03-21,21,3,2020,0,1,Ukraine,UA,44622516,26,3
2020-03-22,22,3,2020,15,0,Ukraine,UA,44622516,41,3
2020-03-23,23,3,2020,6,0,Ukraine,UA,44622516,47,3
2020-03-24,24,3,2020,26,0,Ukraine,UA,44622516,73,3
2020-03-25,25,3,2020,11,0,Ukraine,UA,44622516,84,3
2020-03-26,26,3,2020,29,1,Ukraine,UA,44622516,113,4
2020-03-27,27,3,2020,43,1,Ukraine,UA,44622516,156,5
2020-03-28,28,3,2020,62,0,Ukraine,UA,44622516,218,5
2020-03-29,29,3,2020,93,3,Ukraine,UA,44622516,311,8
2020-03-30,30,3,2020,107,1,Ukraine,UA,44622516,418,9
2020-03-31,31,3,2020,62,2,Ukraine,UA,44622516,480,11
2020-04-01,1,4,2020,69,2,Ukraine,UA,44622516,549,13
2020-04-02,2,4,2020,245,7,Ukraine,UA,44622516,794,20
2020-04-03,3,4,2020,10,0,Ukraine,UA,44622516,804,20
2020-04-04,4,4,2020,183,3,Ukraine,UA,44622516,987,23
2020-04-05,5,4,2020,109,5,Ukraine,UA,44622516,1096,28
2020-04-06,6,4,2020,155,4,Ukraine,UA,44622516,1251,32
2020-04-07,7,4,2020,68,6,Ukraine,UA,44622516,1319,38
2020-04-08,8,4,2020,143,7,Ukraine,UA,44622516,1462,45
2020-04-09,9,4,2020,206,7,Ukraine,UA,44622516,1668,52
2020-04-10,10,4,2020,224,5,Ukraine,UA,44622516,1892,57
2020-04-11,11,4,2020,311,12,Ukraine,UA,44622516,2203,69
2020-04-12,12,4,2020,308,4,Ukraine,UA,44622516,2511,73
2020-04-13,13,4,2020,266,10,Ukraine,UA,44622516,2777,83
2020-04-14,14,4,2020,325,10,Ukraine,UA,44622516,3102,93
