date,day,month,year,cases,deaths,country,code,population,cases_cum,deaths_cum
2020-03-15,15,3,2020,6,0,Uruguay,UY,3449299,6,0
2020-03-16,16,3,2020,2,0,Uruguay,UY,3449299,8,0
2020-03-17,17,3,2020,21,0,Uruguay,UY,3449299,29,0
2020-03-18,18,3,2020,21,0,Uruguay,UY,3449299,50,0
2020-03-19,19,3,2020,29,0,Uruguay,UY,3449299,79,0
2020-03-20,20,3,2020,15,0,Uruguay,UY,3449299,94,0
2020-03-21,21,3,2020,16,0,Uruguay,UY,3449299,110,0
2020-03-22,22,3,2020,25,0,Uruguay,UY,3449299,135,0
2020-03-23,23,3,2020,23,0,Uruguay,UY,3449299,158,0
2020-03-24,24,3,2020,4,0,Uruguay,UY,3449299,162,0
2020-03-25,25,3,2020,27,0,Uruguay,UY,3449299,189,0
2020-03-26,26,3,2020,28,0,Uruguay,UY,3449299,217,0
2020-03-27,27,3,2020,21,0,Uruguay,UY,3449299,238,0
2020-03-28,28,3,2020,0,0,Uruguay,UY,3449299,238,0
2020-03-29,29,3,2020,66,0,Uruguay,UY,3449299,304,0
2020-03-30,30,3,2020,5,1,Uruguay,UY,3449299,309,1
2020-03-31,31,3,2020,11,0,Uruguay,UY,3449299,320,1
2020-04-01,1,4,2020,18,0,Uruguay,UY,3449299,338,1
2020-04-02,2,4,2020,0,1,Uruguay,UY,3449299,338,2
2020-04-03,3,4,2020,31,2,Uruguay,UY,3449299,369,4
2020-04-04,4,4,2020,17,0,Uruguay,UY,3449299,386,4
2020-04-05,5,4,2020,14,1,Uruguay,UY,3449299,400,5
2020-04-06,6,4,2020,6,1,Uruguay,UY,3449299,406,6
2020-04-07,7,4,2020,9,0,Uruguay,UY,3449299,415,6
2020-04-08,8,4,2020,9,1,Uruguay,UY,3449299,424,7
2020-04-09,9,4,2020,32,0,Uruguay,UY,3449299,456,7
2020-04-10,10,4,2020,17,0,Uruguay,UY,3449299,473,7
2020-04-11,11,4,2020,21,0,Uruguay,UY,3449299,494,7
2020-04-12,12,4,2020,7,0,Uruguay,UY,3449299,501,7
2020-04-13,13,4,2020,11,1,Uruguay,UY,3449299,512,8
2020-04-14,14,4,2020,9,0,Uruguay,UY,3449299,521,8
